,bootmad,bootp50,bootsig,dboot,dwa,ecf,eqd,meas,names,wsnt
960,7.158312906600784,3.4685359793790167,3.155699989516722,54.58999540625,54.23625015510858,7.4749635663656235,7.958352021899135,2,NGC 0731,2.731352519535435
961,5.720186600904975,4.148127145264631,1.808924607994695,55.600148600254194,58.99293451041455,2.4324611848079356,10.722712698747788,2,UGC 01380,10.443165238771712
962,4.46950395601337,6.075304528162554,4.874946796564426,66.67455109473656,65.51209430466128,2.6573582045341064,4.201301328201638,3,MRK 1010,3.254132791258544
963,5.732233017579293,2.7785106209853656,2.567951127929289,34.83302432553542,34.303088127389664,6.035169767151206,6.20049156517143,2,UGC 01386,1.422259305269648
964,6.4278562008719,5.455917997313108,3.2161561232257068,74.40929529952257,74.20740527005174,5.191854907320382,5.4871766272058835,3,KUG 0152+051B,1.7758800521115738
965,11.446826023781695,13.325350234132088,5.241927616808361,86.60901008849977,87.47969555545511,5.377692070454576,8.85996251872459,7,UGC 01391,7.041261522523826
966,9.05716430828664,8.827005780802056,4.184786250096378,64.62666873011484,64.57444471683803,6.5842971650126065,7.554418812317454,4,UGC 01395,3.703548897301454
967,9.989915546711762,5.502938771359984,4.72511931090548,66.76632922148517,66.58756035660407,9.177249279131896,16.759216519103244,2,UGC 01392,14.02317489026134
968,11.306634479554079,11.022482705622398,5.2246749523928715,81.29977792462269,81.28514708943271,8.28819459285304,9.175022578147853,4,UGC 01394,3.9353360340032575
969,12.496902493875988,11.472756915537584,7.010580139561713,115.8933343197043,113.36190311965488,8.70064125186576,11.884929208159248,3,CGCG 460-051,8.096319169183527
970,14.691896364538081,15.013627040230979,9.106965588616717,103.69137836270032,105.29030944733282,9.075005459468862,9.705899644585259,3,IC 1748,3.4422033381789907
971,6.345248250245876,5.491511663737238,3.26220860200781,70.54028661935115,70.53531651543544,5.055717482929939,5.685820083330465,3,IC 1749,2.6015900431852463
972,9.94846320087944,4.820712215598302,4.460225024880273,61.64024795277731,60.71053456839144,10.483201366094542,10.66443788771318,2,2MASX J01561251+1454234,1.9577345526924466
973,11.400917348178119,9.742907925019345,5.4252585529797654,121.58310394794913,122.91655172571106,8.810215792611492,11.152596681033447,3,UGC 01408,6.83816572023648
974,5.111853147358369,5.9641707395511405,2.4158030263706602,37.52151911024424,37.2470633925012,2.7430249549056747,4.56718792946249,6,ESO 477- G 016,3.651714621899223
975,12.955132578257851,14.603789735224138,6.390363207713313,95.74550388573606,97.25453002393967,6.999522567376835,14.210304001307925,4,UGC 01410,12.366867980146404
976,7.045222541790217,8.116836474149414,3.190088954300762,42.91134815366748,43.01390102628954,3.539882987622085,6.714267868959958,7,UGC 01378,5.705315192878641
977,9.726300661996353,4.974471202976352,4.441895702507712,70.46654010781604,70.21016602403147,9.676525045835668,13.436091100616133,2,NGC 0741,9.321663322678582
978,6.513869935315136,6.6947706863111405,3.5480735659451703,69.10721716732236,69.92030245665154,3.599620675566786,7.9463097734505785,3,UGC 01405,7.0842480199149085
979,10.668487247508482,11.820151367848544,4.702626694021042,64.70250947804479,65.49506328072647,6.359427902825969,10.589294954677275,5,NGC 0748,8.467044607530545
980,11.753724938789352,14.334458226090407,5.015909119930831,73.08939075228939,65.3344194416785,2.9105531935977873,9.915826168636139,6,UGC 01404,9.47904471525728
981,2.995032479642136,4.229794054868618,0.9571662957263197,18.802785746229485,18.188424690221915,0.5333756669308836,2.4298381519295678,20,NGC 0755,2.3705745806657363
