,Exclusion Code,D,G,Galaxy ID,m-M,err,D (Mpc),Method,REFCODE,SN ID,redshift (z),Hubble const.,Adopted LMC modulus,Date (Yr. - 1980),Notes
179036,,133145,55454,UGC 06080,32.56,,32.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
179106,,133215,55509,ESO 265- G 002,31.57,,20.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
179107,,133216,55509,ESO 265- G 002,31.6,,20.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
179108,,133217,55509,ESO 265- G 002,31.61,,21.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
179109,,133218,55509,ESO 265- G 002,31.7,,21.9,Tully-Fisher,2000BSAO...50....5K,,,,,20,
179123,,133232,55521,UGC 06095,32.34,,29.4,Tully-Fisher,2015AstBu..70....1K,,,,,35,
179381,,133471,55686,UGC 06101,34.66,,85.7,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
179382,,133472,55686,UGC 06101,34.68,,86.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
179383,,133473,55686,UGC 06101,34.68,,86.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
179384,,133474,55686,UGC 06101,34.72,,88.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
179518,,133608,55815,UGC 06112,32.05,,25.7,Tully-Fisher,2015AstBu..70....1K,,,,,35,
179571,,133661,55856,NGC 3501,31.93,,24.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
179572,,133662,55856,NGC 3501,31.94,,24.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
179573,,133663,55856,NGC 3501,31.95,,24.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
179577,,133667,55856,NGC 3501,32.04,,25.6,Tully-Fisher,2000BSAO...50....5K,,,,,20,
179638,,133728,55902,AGC 202040,32.88,,37.6,Tully-Fisher,2015AstBu..70....1K,,,,,35,
179683,,133773,55943,NGC 3504,30.66,,13.6,Tully-Fisher,2002ApJ...565..681R,,,,,22,B
179733,,133823,55991,NGC 3511,30.01,,10.0,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
179735,,133825,55991,NGC 3511,30.06,,10.3,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Mean of B mag and Diameter TF relation
179736,,133826,55991,NGC 3511,30.09,,10.4,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,B
179737,,133827,55991,NGC 3511,30.16,,10.8,Tully-Fisher,1985A&A...153..125G,,,90.0,,5,B
179770,,133860,56000,LSBC F640-02,32.87,,37.5,Tully-Fisher,2015AstBu..70....1K,,,,,35,
179812,,133902,56035,MCG -03-28-033,35.56,,129.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
179813,,133903,56035,MCG -03-28-033,35.56,,130.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
179814,,133904,56035,MCG -03-28-033,35.58,,131.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
179842,,133932,56061,NGC 3510,29.87,,9.42,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
179843,,133933,56061,NGC 3510,30.15,,10.7,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Mean of B mag and Diameter TF relation
179845,,133935,56061,NGC 3510,30.28,,11.4,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,B
179880,,133969,56075,NGC 3513,30.72,,13.9,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,B
179882,,133971,56075,NGC 3513,30.86,,14.9,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Mean of B mag and Diameter TF relation
179883,,133972,56075,NGC 3513,31.14,,16.9,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
179963,,134052,56149,NGC 3512,32.77,,35.8,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,B
179964,,134053,56149,NGC 3512,32.87,,37.5,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Mean of B mag and Diameter TF relation
179965,,134054,56149,NGC 3512,33.06,,40.9,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
180048,,134137,56229,CGCG 066-109,30.06,,10.3,Tully-Fisher,2015AstBu..70....1K,,,,,35,
180196,,134285,56372,ESO 007- G 003,33.4,,47.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
180197,,134286,56372,ESO 007- G 003,33.41,,48.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
180198,,134287,56372,ESO 007- G 003,33.43,,48.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
180295,,134384,56467,UGC 06145,30.15,,10.7,Tully-Fisher,2015AstBu..70....1K,,,,,35,
180321,,134410,56493,ESO 438- G 002,33.77,,56.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
180322,,134411,56493,ESO 438- G 002,33.78,,57.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
180323,,134412,56493,ESO 438- G 002,33.79,,57.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
180324,,134413,56493,ESO 438- G 002,33.81,,57.9,Tully-Fisher,2000BSAO...50....5K,,,,,20,
