,names,meas,bootp50,bootsig,dboot,wsnt,dwa,ecf,eqd,bootmad
0,UGC 12889,5,16.021421083291635,6.467898255373918,77.23073425163936,14.73338728163899,77.01498517499631,7.445803945960514,16.507958601609186,14.232470715537247
1,KUG 2357+228,3,6.487185183764063,3.281595276012566,55.96089380520187,8.779941789139354,54.945512479591244,3.8758430849940537,9.597371381798862,6.922261367872797
2,2MFGC 00003,2,4.794196607406351,4.363377788714456,66.5788741682168,0.2960099482747293,65.88341094283322,10.21663231403783,10.220919612721723,9.714842802999742
3,UGC 12898,3,8.509263922141164,5.410008844388977,78.57319152544382,6.046302038178078,76.31726503720259,6.028933358814887,8.538489666323157,9.042736287592284
4,UGC 12897,7,19.28190877612625,7.725310953384585,129.18929152792813,6.775187254831502,129.19301764587033,9.276907182610353,11.487565852381382,16.960829284983678
5,UGC 12900,4,15.627813589502162,6.968234909890943,111.96874531419954,12.275198410038175,114.12639624962931,8.176027537606727,14.748827828051532,14.24422989447713
6,ESO 349- G 017,2,7.2220559380123515,7.765961443131685,42.686079756124585,3.844854819934237,39.9080575486095,15.813575072885449,16.27427617966942,14.52319642757459
7,UGC 12901,9,16.03044667748723,5.511908647129649,95.18068079544943,8.868747075675143,95.24140756982851,5.2050393860604744,10.283341368579437,12.606392201721794
8,IC 5376,7,10.794976213554527,4.302151422228996,72.90240741931477,2.937934602400877,72.64878593521699,5.2166599738208035,5.987069484351127,9.505345049270817
9,NGC 7806,4,9.299220405205693,4.485422473575191,67.81946561144376,3.0514179979249927,67.42537483333224,6.874990660961279,7.521745035985026,9.39811976302402
10,UGC 12913,4,10.03892742998746,4.820460620984916,81.17686219328694,3.8159354746667273,81.33695490741582,5.966435811165501,7.082352704827549,9.43763096377311
11,UGC 12914,4,7.643740520160444,3.580832532264811,56.269573389824664,3.1233441824570147,56.26882940949546,5.737419742192721,6.532477644829017,7.880528568375703
12,UGC 12915,4,15.268785854226927,6.315906948340864,82.62299080267346,18.333207296360136,78.67343212744504,8.021892536436715,20.01142797597042,15.36739850562665
13,ESO 409- G 004,3,9.23986073443684,5.3182654621066225,131.9426895402155,3.430417075905598,132.38332744233955,9.080341697809079,9.706717605021533,11.023703437255763
14,UGC 12920,7,12.155060555497409,5.016253515975447,87.03451630186542,3.543933238033168,86.77886569318373,5.190983378561968,6.285361662795776,10.345273211266928
15,MCG -01-01-024,6,14.165229334721037,5.6083613598786055,100.65589596151082,6.345966167260829,101.04252300086469,6.375709358392173,8.99560761809388,12.158618317039348
16,CGCG 408-013,4,8.51776781962102,4.321119816841691,73.93805439598532,2.5933886907362025,72.70780925018774,5.211610143261017,5.8212150953713735,8.014210321322642
17,2MASX J00024069+0846251,3,14.34461492285966,8.83210548420359,152.814587182011,7.0041253415772555,152.88086400126306,11.799773156338583,13.721968457243054,15.807886854473338
18,UGC 00003,7,18.659242212055645,7.7652900572689,114.86355064713165,11.733553516360638,114.36800092191649,6.904222001773241,13.614130878284842,15.489433742112123
19,NGC 7812,4,11.984126165887995,5.746664547020538,88.4283132782696,3.36887054356335,88.37358450535083,9.010963152252343,9.620121915575618,12.186028862938308
20,UGC 00004,3,13.391588279552721,7.732121434027066,123.86657942670335,5.7211642446217015,125.42771140600597,10.12799979177674,11.63220099964609,14.32078229984045
21,UGC 00005,8,17.02921329617175,5.8602860443720415,96.91374298807462,10.81043569683042,100.20920914133202,5.869095664299176,12.300886304327863,14.191352756910675
22,UGC 00006,4,15.191543011665706,7.386445261013416,103.72764783974091,10.621174825429726,103.08233778793893,10.510732960015966,14.942719365266424,15.061184427518286
23,IC 5381,5,27.092819382124336,10.151535034187955,175.01758757300632,24.99901717932403,186.66375093058423,12.765460117644466,28.06969597176481,26.40990826302114
24,NGC 7814,14,3.3307975322608128,0.8552874789494348,17.384114402683196,2.5634499643187456,16.297019278018684,0.5186500617943003,2.6153916735672706,2.489470424681356
25,UGC 00010,3,10.282211222845651,5.874611132174235,89.35822258889839,5.824439080158367,90.92434076982296,7.431033899243551,9.441628853655647,11.035117676955805
26,UGC 00014,19,16.562731546595405,3.5445222213723686,79.53136093690273,10.64402664374156,86.33286671922293,2.4085289535833923,10.91312580853578,12.10836062350154
27,UGC 00017,5,3.111546846205216,1.1244140536697194,18.10001101372002,3.275513493723286,18.484458494351358,1.2428993361170695,3.5033965529587965,2.8607406859084143
28,AGC 400737,3,12.3746056625918,7.674490429263787,120.4063972665045,4.855054140206966,119.62321798581466,9.495867497926264,10.665038689217832,13.060724890912361
29,AGC 101122,2,13.88872345006415,13.433998769234881,118.47560146256428,4.195604943768368,113.8389320705806,30.599570066623386,30.885867141888173,28.72222733221528
30,NGC 7817,22,5.750597079974099,1.1476308065175274,25.767434437382835,3.667198917689355,26.086798497311257,1.021633268037042,3.806846783922624,4.185462882259228
31,ESO 193- G 013,3,11.53101977810639,7.144857737536594,108.93650466803409,1.7305895532924205,108.77895102984569,8.809313212460012,8.977691210839644,12.136927727147416
32,UGC 00023,3,9.585356187171596,5.171970662138335,102.11821513406326,8.764610640606321,103.4326531708932,7.624352969096851,11.616761936047649,10.597480165137126
33,2MASX J00041398-5113247,3,18.16339038728194,11.206806476072872,156.4832491106983,3.216064482840079,156.03011613777633,12.83602797382255,13.23278825125455,18.335629262195305
34,UGC 00024,3,7.6192466247527335,3.4231115023344776,54.79244116638154,10.63622976739445,53.23356193324833,3.816804525171568,11.300326563784694,8.073958237386014
