ICol,Dx,Dy,Dz
80, 4.66832673023e-06, -1.87662157374e-05, -4.71086192739e-06
81, -1.36049050266e-07, -1.59907047878e-05, -1.05754064522e-07
82, 1.28229387544e-07, -1.81462266336e-05, -5.02836731875e-07
83, 1.31239067316e-06, -2.08455082099e-05, -1.78214671534e-06
84, 4.41086367528e-06, -1.84145902956e-05, 6.1896339365e-07
85, 2.40541624195e-06, -1.70512962867e-05, -3.43152158518e-06
86, 2.87523753694e-07, -1.84921219121e-05, -2.07233794098e-06
87, 1.14301203066e-06, -1.79686168126e-05, -1.30336977376e-06
88, -2.81274331028e-06, -1.86814286982e-05, -7.74878255813e-07
89, 2.58288893725e-06, -1.91775506278e-05, -1.44879161549e-06
90, -5.31195277132e-07, -1.98114127347e-05, -1.00458422814e-06
91, 4.8914755096e-09, -1.80006008826e-05, -7.10503997731e-07
92, -1.35136030491e-07, -1.74789718875e-05, -1.06694511561e-07
93, -1.92728611447e-06, -1.71617712603e-05, -1.79071745834e-06
94, -1.34794597796e-07, -1.69038953222e-05, -1.07931498071e-07
95, 6.70223779362e-07, -2.03346068923e-05, -1.81764221449e-06
96, 4.70654869633e-07, -1.77309629324e-05, -2.92340865388e-06
97, 1.85534250246e-06, -1.88391664216e-05, -2.65825567481e-06
98, 1.74533488846e-07, -1.65530087628e-05, -5.12713242058e-06
99, 1.68442258023e-06, -2.06616244196e-05, 2.07031532583e-06
100, 4.4520527815e-07, -1.84737580007e-05, -7.2518160705e-07
101, 3.09342146657e-06, -1.95697406009e-05, -1.70960444327e-06
102, -1.35476902419e-07, -1.73505768929e-05, -1.06615902392e-07
103, -2.15510310225e-06, -1.81260073854e-05, -3.89109158786e-07
1, 2.92409276235e-06, -1.83739080509e-05, -3.4681977145e-06
2, 1.58330150098e-06, -2.05108973883e-05, -9.44972706969e-07
3, -8.93597758322e-08, -1.80040928173e-05, -1.56273660315e-06
4, -1.41972419824e-06, -1.9740621531e-05, 4.19291009015e-07
5, 2.67471354312e-06, -1.91259988893e-05, -2.83295349511e-06
6, 1.47171044686e-06, -2.04812644965e-05, -2.50780633078e-06
7, 5.6468776454e-07, -1.90085439063e-05, 4.6910904963e-07
8, 1.19849996999e-07, -1.62133766621e-05, -2.25624447746e-06
9, 3.81325528246e-06, -1.94557489109e-05, -2.86462701053e-07
10, 4.400377343e-06, -1.92272696186e-05, -1.47935562532e-06
11, -9.10598875364e-07, -1.70727270255e-05, -1.00939816058e-06
12, 2.08959446216e-06, -1.87571161297e-05, -3.6518249056e-07
13, 1.11357719902e-06, -1.82092922307e-05, 1.24908524572e-06
14, 1.15136202409e-06, -1.82298649653e-05, -4.39832149023e-06
15, -1.37603454326e-07, -2.03523705964e-05, -2.92384757362e-06
16, -1.15316172421e-06, -1.93984690218e-05, -5.05860084694e-08
17, 6.4656915943e-07, -1.93056815142e-05, -1.41084235869e-06
18, 6.47124217997e-06, -1.77674294807e-05, -2.88748859078e-06
19, 6.17950169123e-06, -2.02213895278e-05, -2.87233663128e-06
20, 1.2770113404e-07, -1.94682200319e-05, 5.49830796399e-07
21, 6.8182059309e-06, -1.98126935566e-05, -2.60450423382e-06
22, 3.83999656879e-07, -1.69782617359e-05, -1.59354548439e-06
23, -9.66094223159e-07, -2.02774008164e-05, -1.18497086031e-06
24, 2.87498269454e-06, -1.75700284677e-05, -1.77574595613e-06
25, 1.51723858971e-06, -1.83194445058e-05, -3.17888911633e-06
26, 3.38253844357e-06, -1.72340450977e-05, -2.63228710648e-06
27, 2.43570851037e-06, -1.8586100823e-05, -1.38114113026e-06
28, 2.61682054343e-06, -1.9629789862e-05, -2.39968359728e-06
29, 8.10539581426e-07, -2.18718169475e-05, 1.69986788792e-06
30, -3.48658761554e-07, -1.97526751471e-05, 2.08738927381e-06
31, 6.87944752276e-07, -1.89235345461e-05, -9.64488930143e-07
32, 1.37789044443e-06, -1.86995637105e-05, -7.37193610676e-07
33, 3.43479426141e-07, -2.13422136548e-05, -3.14542855642e-06
34, 2.96953197089e-06, -2.14507884155e-05, -2.28346717588e-06
35, 3.00193039749e-06, -1.92729640159e-05, -3.67779146742e-07
36, 4.6107272511e-06, -1.86868606376e-05, -1.35805136852e-06
37, 2.07323627544e-06, -1.90673686385e-05, 1.10133003181e-06
38, 4.27610118062e-07, -1.78958883704e-05, -5.20233081223e-07
39, 5.21143237842e-06, -1.96924962073e-05, -1.53998203624e-06
40, 3.27888323379e-07, -1.7538219976e-05, -3.86284830192e-06
41, 2.89582999664e-06, -2.02340230557e-05, -2.3166817657e-06
42, 3.49600839793e-06, -2.08566016087e-05, -4.86275868839e-06
43, 1.51974267102e-06, -1.85440781159e-05, 5.63518696736e-07
44, 4.0866983502e-07, -1.96538525294e-05, -3.17462953196e-07
45, 1.71443491503e-06, -1.85523026312e-05, 5.10457852584e-07
46, -2.75843946426e-06, -1.69548273e-05, -7.64844232933e-07
47, -4.47010535042e-07, -1.8599754538e-05, -4.22961367e-06
48, -1.35103068319e-07, -1.66127793343e-05, -1.15323022122e-07
49, -2.46373556269e-06, -1.80207320069e-05, -2.89068633528e-06
50, 2.01261856289e-06, -1.84484681001e-05, -2.19830300377e-08
51, -4.66846356882e-07, -1.96858120598e-05, -1.64574690173e-06
52, -1.64228499377e-06, -1.77544801091e-05, -1.1954105066e-06
53, -8.51485653635e-07, -2.0595887567e-05, 1.78635546874e-06
54, 1.06627249656e-06, -1.91849856902e-05, -2.6877973429e-06
55, -1.68241364176e-07, -1.86609478603e-05, -3.4660560327e-07
56, -1.33553749237e-07, -1.64784592303e-05, -1.07789816957e-07
57, 2.25262683793e-06, -1.8166364643e-05, -1.43034580497e-06
58, -1.35330819371e-07, -1.59523683797e-05, -1.07396258539e-07
59, 4.06960840739e-06, -2.02508479722e-05, -1.97869322102e-06
60, 2.13279566578e-06, -1.74721930222e-05, -3.8631784064e-07
61, 3.70118928086e-06, -1.93645447171e-05, -1.44926166218e-06
62, 3.14046103839e-07, -1.76792730169e-05, 1.66568193452e-06
63, 2.2764831489e-06, -1.71930821702e-05, -2.68333284113e-06
64, -1.43421803191e-06, -1.86445901947e-05, -1.26229411898e-06
65, 4.55535467018e-06, -1.89836265291e-05, -3.35814543654e-06
66, 5.60547680154e-07, -1.76814641692e-05, -9.02107434449e-07
67, -1.24713774464e-06, -1.93648246471e-05, -9.80471887825e-07
68, 1.89234046503e-06, -1.72398823928e-05, -2.84479196031e-06
69, 2.26316042324e-06, -2.11653778767e-05, 1.11069849971e-06
70, 3.85561873753e-07, -2.011509427e-05, -1.0176338932e-07
71, 2.60486392471e-06, -1.89354363786e-05, -2.61536615368e-06
72, -1.36022336578e-07, -2.11478128491e-05, -9.8745595504e-08
73, -3.91020052053e-07, -1.89839008381e-05, -2.95635091883e-06
74, 7.34439657735e-07, -1.86874161947e-05, -3.39133897922e-06
75, -1.20267453517e-06, -1.83367117124e-05, -1.57050861578e-06
76, 1.44576063423e-06, -1.9370361803e-05, 2.03531875459e-06
77, -2.53908432075e-06, -1.75628425696e-05, 7.20932919908e-08
78, 1.75741877742e-06, -1.70951396963e-05, -2.99398042685e-06
79, 5.21725180492e-06, -1.94085535847e-05, -2.9632175493e-06
80, 1.16397012133e-06, -1.83967631767e-05, -1.37081026896e-06
81, -3.72880859425e-06, -1.80078466494e-05, -1.03252819761e-06
82, 2.78408343086e-06, -1.99406074244e-05, -5.0214299393e-07
83, 5.80758234374e-06, -1.83244436574e-05, -2.80518264892e-06
84, -7.60548445535e-07, -1.71487928759e-05, -2.74103750241e-07
85, 4.36270201229e-06, -1.92361394651e-05, 7.74837334295e-07
86, -3.04949716684e-06, -1.80439661079e-05, -2.7244616855e-07
87, 2.13979544438e-06, -1.99454730529e-05, 4.80337692666e-07
88, 2.4992249564e-06, -1.93643852711e-05, -3.72711209597e-06
89, -1.71979194592e-06, -1.99710986508e-05, -6.12196232435e-07
90, 1.02329973272e-06, -1.68721125496e-05, -2.00837861671e-06
91, -1.67972170256e-06, -1.94339848443e-05, -8.49236621044e-07
92, -1.60166351275e-06, -1.89301602191e-05, -1.01878080842e-06
93, 2.51174725189e-06, -2.01671685106e-05, 1.92398335692e-07
94, 3.57443859311e-06, -1.77748470206e-05, -1.09993356864e-06
95, 2.08414613356e-07, -1.95657387634e-05, 1.28616898952e-06
96, 3.96958387829e-06, -1.99894709583e-05, -1.45014419135e-06
97, -3.63805737367e-06, -1.83507593223e-05, 1.85030181564e-07
98, 4.36532242521e-06, -1.69104960287e-05, -4.32321060977e-06
99, -1.35923499853e-07, -1.56314479766e-05, -1.08058274339e-07
100, 2.81157185107e-06, -1.86726403088e-05, -4.94909850479e-07
101, 3.41824051656e-07, -1.84883158861e-05, -1.30059970106e-06
102, -1.99126651463e-06, -2.00141267963e-05, 4.31198790793e-07
103, 7.80926453738e-06, -1.81254420232e-05, -4.28506278242e-06
104, 1.57211060439e-06, -1.95865194264e-05, -1.36946615034e-06
105, 1.77001635271e-06, -1.88877887369e-05, -8.36173307578e-07
106, 1.2541186064e-06, -1.99912422495e-05, -9.10416714809e-07
107, 3.60638658837e-06, -1.92058957608e-05, 4.7319074725e-07
108, 3.50384622248e-06, -1.88036975858e-05, -1.17970206822e-06
109, 3.38539289063e-06, -2.08992944641e-05, -2.22958433162e-06
110, 5.4945969869e-06, -1.96944655725e-05, -1.12487328765e-06
111, 5.01376815066e-07, -1.68460728316e-05, -5.41423349047e-06
112, 2.89004760095e-06, -1.81535330286e-05, -2.11895399818e-06
113, 4.43464734981e-06, -2.10207672352e-05, 1.37213771977e-06
114, 1.34116247611e-06, -1.89104058931e-05, -3.15085076031e-06
115, 3.86414666441e-06, -1.88589827234e-05, -2.32544608895e-06
116, 4.73554933899e-07, -1.86679869131e-05, 9.54449300564e-07
117, 2.99587112979e-06, -2.13266689502e-05, 6.54841670585e-07
118, 2.03051932395e-06, -1.71007007789e-05, -2.87996054369e-06
119, -9.28322413346e-08, -1.67732683386e-05, -1.78220828606e-06
120, 1.19799287459e-06, -1.6911598425e-05, -1.71134621759e-06
121, 8.34456792842e-07, -1.7946769844e-05, -9.70692253252e-07
122, 2.87514316708e-06, -1.82291334297e-05, -1.48094040302e-06
123, 4.03318580631e-06, -2.05139155875e-05, -3.91815378484e-07
124, -8.87089796924e-07, -1.72808802802e-05, -1.04284239543e-06
125, 7.18688615581e-07, -1.74977842253e-05, -6.34034917208e-07
126, 2.72571095811e-06, -2.2851734541e-05, -3.00595756725e-06
127, 6.31388624537e-07, -1.81286857279e-05, -1.38760234733e-06
128, -1.90452238504e-06, -1.79576948869e-05, -2.72435080782e-06
129, -5.50042989476e-07, -2.01913723871e-05, -1.01464397634e-06
130, 2.61975550103e-06, -2.06392610207e-05, -3.19997602934e-06
131, 4.25046876684e-06, -2.24645775003e-05, -2.78879315796e-06
132, -2.52706193657e-07, -1.70049318501e-05, -3.15373322499e-06
133, -4.64787776247e-06, -1.86975864729e-05, -1.14731339767e-06
134, 6.46602024533e-06, -2.13138228687e-05, -1.78811100449e-06
135, 1.97693059409e-06, -1.89289626247e-05, 1.34331405115e-07
136, 2.0244175962e-06, -2.02524893442e-05, -1.28358892579e-06
137, 2.36878629781e-06, -1.74133111366e-05, -1.77764689032e-06
138, 1.87651545838e-06, -2.01217034587e-05, -2.78982690069e-06
139, 8.64268657512e-07, -1.68367118802e-05, -1.95887442509e-06
140, 2.09654263015e-06, -1.76166435976e-05, -1.15731983519e-06
141, -1.32894127201e-07, -1.73906736548e-05, -1.08506286558e-07
142, 1.41985774667e-06, -1.75860302165e-05, -3.0140574622e-06
143, 2.41465613708e-06, -1.83530736463e-05, -1.17500767078e-06
144, -3.04313186747e-07, -1.81791655603e-05, -1.34197513088e-06
145, -3.08078977381e-06, -1.89955454628e-05, 2.23134923224e-06
146, 1.50426446786e-06, -1.8597135285e-05, 2.10843350639e-06
147, -1.35468171954e-07, -1.73495143465e-05, -1.0662693276e-07
148, -1.09795227829e-06, -1.68694106407e-05, -2.92931080183e-06
