,Names,RA,DEC,Redshift
103,2MASX J00225812-4232045,5.74225,-42.53458,0.054234
104,2MASX J00230153-5650048,5.75633,-56.83475,0.034074
105,2MASX J00230166-6350000,5.75679,-63.83331,0.042526
106,2MASX J00232812-0414539,5.86717,-4.24836,0.053247
107,2MASX J00234364-2100579,5.93187,-21.01608,0.052716
108,2MASX J00235272-1241042,5.96962,-12.68475,0.048764
109,2MASX J00240028-0802064,6.00121,-8.03519,0.032746
110,2MASX J00242524-1414569,6.10525,-14.24906,0.024303
111,2MASX J00251747-1610102,6.32298,-16.16954,0.053804
112,2MASX J00253231-6216080,6.38458,-62.26889,0.039991
113,2MASX J00255160-2040386,6.46494,-20.67734,0.05314
114,2MASX J00260321-0720047,6.51333,-7.3347,0.052953
115,2MASX J00260930-0945457,6.53874,-9.76263,0.052189
116,2MASX J00264878-0016100,6.70326,-0.26937,0.231193
117,2MASX J00270998-0702129,6.79167,-7.03694,0.052506
118,2MASX J00274641-1015462,6.9433,-10.26298,0.047905
119,2MASX J00282675-2115109,7.11153,-21.2532,0.054047
120,2MASX J00284426-0005470,7.1845,-0.09639,0.216693
121,2MASX J00285937+0020010,7.2473,0.33352,0.222209
122,2MASX J00294935-0114055,7.45561,-1.23493,0.033834
123,2MASX J00295739-0517375,7.48915,-5.29394,0.025568
124,2MASX J00302168-0027061,7.59022,-0.4516,0.228684
125,2MASX J00304937-5728258,7.70583,-57.47386,0.028817
126,2MASX J00305682-0010072,7.73675,-0.16861,0.225166
127,2MASX J00310983+3753596,7.79104,37.90011,-0.001531
128,2MASX J00311062-5629557,7.79425,-56.49892,0.027873
129,2MASX J00320679-1303226,8.02829,-13.05628,0.054448
130,2MASX J00323979-0254566,8.16576,-2.91568,0.018726
131,2MASX J00324174-8223088,8.17433,-82.38578,0.042449
132,2MASX J00325778-1812453,8.24086,-18.21253,0.054021
133,2MASX J00330152-6728343,8.25646,-67.47628,0.040965
134,2MASX J00340149-4308482,8.5061,-43.14682,0.053
135,2MASX J00343923-1812407,8.66358,-18.21131,0.052943
136,2MASX J00344197-1812027,8.67488,-18.20071,0.053937
137,2MASX J00345135-5221453,8.71392,-52.36256,0.045565
138,2MASX J00351317-6049228,8.80483,-60.82297,0.040158
139,2MASX J00351758-0239084,8.82329,-2.65231,0.020321
140,2MASX J00354069-0910103,8.91961,-9.16954,0.054796
141,2MASX J00355823-4229462,8.99263,-42.49617,0.048013
142,2MASX J00360522-0340138,9.02181,-3.67055,0.051746
143,2MASX J00361813+1123354,9.07571,11.39297,0.036
144,2MASX J00362924-0043433,9.12186,-0.72852,0.034215
145,2MASX J00370106-2147242,9.25446,-21.79014,0.05281
146,2MASX J00371583-5636583,9.316,-56.61625,0.024684
147,2MASX J00375699-5603427,9.48742,-56.06183,0.028857
148,2MASX J00375872-3403455,9.49479,-34.06269,0.054428
149,2MASX J00380337-1442168,9.51408,-14.7046,0.052947
150,2MASX J00381620-1703182,9.56755,-17.05514,0.053704
151,2MASX J00383446-5528017,9.64375,-55.46714,0.0286
152,2MASX J00384117-7718167,9.67208,-77.30464,0.044447
153,2MASX J00384984-0302293,9.70763,-3.04139,0.051319
154,2MASX J00390161-1606152,9.75669,-16.10429,0.019804
155,2MASX J00391247-0045096,9.80205,-0.75265,0.045853
156,2MASX J00391411-5307103,9.80888,-53.11961,0.027789
157,2MASX J00391571+0641188,9.81546,6.6885,0.038683
158,2MASX J00392547-5559041,9.85633,-55.9845,0.027919
159,2MASX J00393383-0221301,9.89092,-2.35844,0.05349
160,2MASX J00393603+0639511,9.90021,6.66419,0.03886
161,2MASX J00394510-5603559,9.938,-56.0655,0.02901
162,2MASX J00394958-1621333,9.95669,-16.35932,0.028787
163,2MASX J00400423-5610499,10.01767,-56.1805,0.02838
164,2MASX J00401476-1528148,10.06154,-15.47072,0.054444
165,2MASX J00402438-5613183,10.10171,-56.22175,0.029087
166,2MASX J00402459-5616503,10.10238,-56.28064,0.024363
167,2MASX J00403450-0131191,10.14375,-1.52203,0.046575
168,2MASX J00404323-5555454,10.18025,-55.92928,0.025744
169,2MASX J00404400-8502282,10.18292,-85.04119,0.043327
170,2MASX J00404599-0624065,10.19163,-6.40178,0.054634
171,2MASX J00404645-0850055,10.19365,-8.83475,0.05382
172,2MASX J00405978-6015451,10.24925,-60.26261,0.033897
173,2MASX J00410037-5556213,10.25158,-55.93919,0.02856
174,2MASX J00410650-3701488,10.27712,-37.03014,0.034674
175,2MASX J00422229-1336254,10.59273,-13.60711,0.054167
176,2MASX J00430810-4621541,10.78388,-46.36511,0.048911
177,2MASX J00432409-1115214,10.85036,-11.25609,0.037192
178,2MASX J00434551+4136578,10.93946,41.61567,-0.000197
179,2MASX J00435537-4529198,10.98075,-45.48878,0.052316
180,2MASX J00442302-0250402,11.09596,-2.84456,0.054468
181,2MASX J00442808-4750356,11.11712,-47.84328,0.032859
182,2MASX J00443129-0301012,11.13038,-3.01708,0.054097
183,2MASX J00443767-4849412,11.15687,-48.82814,0.049061
184,2MASX J00444361-2351175,11.18167,-23.85489,0.0527
185,2MASX J00451141-1716107,11.29743,-17.26958,0.028426
186,2MASX J00452132-2537117,11.33887,-25.61989,0.023826
187,2MASX J00453439-2019489,11.39333,-20.33031,0.047229
188,2MASX J00455178-4951075,11.46579,-49.85203,0.049401
189,2MASX J00460464-4812475,11.51942,-48.21322,0.049371
190,2MASX J00463448-4843170,11.64358,-48.72142,0.049781
191,2MASX J00463679-1418556,11.65333,-14.31536,0.0527
192,2MASX J00464029-5206380,11.66788,-52.11061,0.027342
193,2MASX J00471390-4816034,11.80787,-48.26758,0.050702
194,2MASX J00474753-1237282,11.94808,-12.62461,0.054601
195,2MASX J00475177-4813539,11.96575,-48.23169,0.049781
196,2MASX J00481792-6454263,12.07467,-64.90731,0.038743
197,2MASX J00490912+0035472,12.28802,0.59661,0.115027
198,2MASX J00491474-4750379,12.3115,-47.84392,0.049021
199,2MASX J00493274-0412505,12.38676,-4.214,0.053684
200,2MASX J00493575-0254245,12.39888,-2.90683,0.05332
201,2MASX J00493650-4725028,12.40204,-47.41736,0.032412
202,2MASX J00494722-6139127,12.44679,-61.65361,0.034551
203,2MASX J00495987-0359556,12.49958,-3.99881,0.052796
204,2MASX J00500038-0539176,12.50167,-5.65492,0.053777
205,2MASX J00500829-0422596,12.5345,-4.38317,0.054278
206,2MASX J00504184-5213116,12.67442,-52.21994,0.026061
207,2MASX J00505356-2153577,12.72325,-21.89942,0.062206
208,2MASX J00510432-0008044,12.76814,-0.13456,0.044422
209,2MASX J00510924-4606335,12.7885,-46.10939,0.033069
210,2MASX J00510936-4637566,12.78892,-46.63242,0.053991
211,2MASX J00511665-2156048,12.81942,-21.93475,0.062577
212,2MASX J00512231-2132578,12.843,-21.54933,0.060348
213,2MASX J00515380-0302512,12.97422,-3.04748,0.045698
214,2MASX J00521819-2149496,13.07588,-21.83065,0.05795
215,2MASX J00522168-0320404,13.09054,-3.3447,0.052143
216,2MASX J00522819-0158442,13.11756,-1.97901,0.046329
217,2MASX J00525070-0313491,13.21129,-3.23036,0.046726
218,2MASX J00525595-2150290,13.23308,-21.84144,0.05762
219,2MASX J00531448-0337216,13.31038,-3.62272,0.052119
220,2MASX J00531535-0333056,13.31404,-3.55158,0.051639
221,2MASX J00531897-0356326,13.32909,-3.94246,0.045605
222,2MASX J00532013-0117526,13.33388,-1.29794,0.043944
223,2MASX J00532155-0251216,13.33981,-2.8562,0.04293
224,2MASX J00532535-2151017,13.35562,-21.85044,0.061379
225,2MASX J00532556-2144117,13.3565,-21.73664,0.0593
226,2MASX J00532866-2154407,13.36942,-21.91131,0.060605
227,2MASX J00532939-0040375,13.3725,-0.67731,0.0438
228,2MASX J00534136-0155486,13.42229,-1.93017,0.045952
