,D (Mpc),H,M,P,Q,j2000,meas,objname
21,22.55349710485646,1.6508233406081927,3.395211520826934,3.56026019925055,3.6117675432558913,J114526.2-100610,2,PGC036643                     
22,28.019622267063745,4.138802708541876,4.622727463292068,3.0075765489761843,5.873773507208052,J122722.2+105200,3,IC3371                        
23,16.113710438300128,1.3786070702603734,0.8883133331211294,0.1382583107140073,1.7797248133994639,J123403.0+074158,7,NGC4526                       
24,18.0374335535194,2.475544985057233,2.498605371153347,1.7435458630439546,2.2073066460175634,J115831.4+435649,4,NGC4013                       
25,7.1449632607551345,0.0,0.0,0.5270124901132988,0.0,J122953.3+473151,1,UGC07639                      
26,32.46344916837376,2.364266320851901,4.868226253746592,5.088578672434119,5.290544301485492,J225541.7-052944,2,NGC7416                       
27,9.898607929637512,0.259032264016869,0.14426011480796802,0.09585469072900465,0.12632040451038418,J082828.5+415124,3,UGC04426                      
28,2.057907858074202,0.04221213116264,0.06826351314892748,0.052755749652977385,0.13136075727923863,J022443.5-733049,2,PGC009140                     
29,50.44003413604274,3.7040034038484806,7.551906767477472,7.937403540693085,7.988644119892407,J031845.3+431423,2,UGC02655                      
30,50.33453201106508,1.9345461477818284,3.8505305416073425,3.9360643765713013,3.942200100290509,J071930.9+592118,2,UGC03789                      
31,3.9264493539959933,0.0,0.0,0.30771583587266604,0.0,J122844.1+435824,1,[KKH2007]J1228+4358           
32,19.230917289101615,0.0,0.0,1.15250887313586,0.0,J121023.1+101119,1,IC3025                        
33,71.88986524920422,6.175978585039815,3.9355552646164225,0.8767858653714573,6.187782474836777,J124531.9+544415,6,NGC4675                       
34,56.41486803825614,4.115880887353966,8.425989551298603,8.842936234112432,9.1939122716568,J090456.6+595559,2,NGC2726                       
35,26.54605561975536,0.0,0.0,4.895092656282889,0.0,J175916.9-593026,1,ESO139-046                    
36,25.003453616964297,0.0,0.0,4.149573162271395,0.0,J033852.1-262016,1,NGC1398                       
37,180.31713316631115,17.975223455511784,11.987690063434377,2.1795342173054792,16.158427343711057,J195859.3-561528,6,PGC063925                     
38,13.758018146807162,1.0146132255990654,2.0828153299548804,2.178728180294055,2.265201876740714,J103447.3+213854,2,NGC3287                       
39,0.7906786279998246,0.0,0.0,0.0838356549268214,0.0,J004622.0+401659,1,PGC2802596                    
40,34.92121674398199,4.369327973848129,5.234855972072936,4.23964361604139,5.421232628451248,J094223.1-061505,3,PGC027747                     
41,30.04686717030945,2.4340837386409304,4.347832248355739,3.865858189840052,7.380651261081931,J064407.0-271031,2,ESO490-036                    
42,37.72547873524354,2.739697477169658,5.653686323539303,5.9434568810202055,5.953072186608521,J135248.5+372927,2,UGC08795                      
43,51.455780544140374,22.721035545583288,16.49061583888279,5.527065746603388,34.7364481591043,J143227.3+495417,4,IC1029                        
44,10.964781961431852,0.0,0.0,2.021905793688034,0.0,J051004.5-365736,1,NGC1827                       
45,12.04579653704003,0.6715367006420735,1.1612874064168353,1.0331918816256578,1.8457914824386097,J122401.5+121217,2,NGC4351                       
46,24.774389242005103,4.15585173797433,4.664478852379114,2.123073891890449,5.750948149853315,J101655.5-485252,3,ESO213-011                    
47,19.58844673505989,0.0,0.0,4.876347930225808,0.0,J220915.3+142137,1,UGC11921                      
48,12.02264434617413,0.0,0.0,2.4940975696138237,0.0,J122903.0+131102,1,NGC4461                       
49,1122.0184543019652,0.0,0.0,165.5201623786259,0.0,J101033.2-123704,1,MS1008.1-1224:PPP001719       
50,20.331288216140695,1.3276835361930681,1.9062125034734552,1.4390173265356985,2.935793614214754,J120110.5+140615,2,IC0755                        
51,80.53784411990677,0.0,0.0,4.455353536713242,0.0,J131023.8-214103,1,ESO576-001                    
52,15.055986104811884,0.6500827377488837,0.38241542233464587,0.06388081694882043,0.4592058452682745,J123139.3+035623,23,NGC4496A                      
53,26.915348039269137,0.0,0.0,4.963190178441229,0.0,J004035.0+831321,1,UGC00392                      
54,0.004142078537648659,5.599261276074071e-05,0.00011435483279440995,0.00011916520821543306,0.00012060968772107202,J192053.1+374618,2,NGC6791                       
55,34.197944251370934,0.0,0.0,5.675490827957521,0.0,J122902.3+024323,1,UGC07612                      
56,0.7311390834834173,0.0,0.0,0.07415212584688817,0.0,J235855.6+304520,1,ANDROMEDA29                   
57,46.13175745603791,0.0,0.0,11.484039701106077,0.0,J142336.7-055856,1,IC4407                        
58,67.40882439415343,4.904090457026283,10.116995532590314,10.55397753682097,11.058815429762383,J040048.9+350050,2,UGC02920                      
59,18.879913490962927,0.0,0.0,3.481456047733564,0.0,J103114.2+430815,1,UGC05707                      
60,387.2576449216165,0.0,0.0,21.423092917063823,0.0,J232004.5-000320,1,APMUKS(BJ)B231730.59-001946.5 
61,38.530451409446236,2.85765449692922,5.883091649442974,6.002528050930894,6.667835375465559,J085107.0-173350,2,PGC024870                     
62,13.889283712454263,1.923253026448826,1.913709019021079,1.3045860940662353,1.834567643866973,J121246.3+105157,4,NGC4178                       
63,392.6449353995993,0.0,0.0,19.91102467411368,0.0,J003053.3-004307,1,APMUKS(BJ)B002819.57-005941.4 
64,9.881786692175648,1.2732225505479537,1.5133274433209658,1.2075505066103578,1.6977844333279053,J120441.2-280659,3,ESO440-046                    
65,8.828170407293472,1.1907050757996496,0.9117767126466232,0.3685132016400137,0.6249689060260729,J123245.5+000653,6,NGC4437                       
66,34.84310119375983,4.034806814048658,4.963124745152822,4.197077094661941,4.332905475661684,J110040.0+611916,3,UGC06080                      
67,24.660393372343414,0.0,0.0,4.547376537860126,0.0,J223046.3+763040,1,UGC12069                      
68,30.76096814740705,0.0,0.0,5.67232252638186,0.0,J050732.0-113906,1,PGC016772                     
69,9.659882928990376,0.304711778987044,0.6334184077317333,0.674950672780633,0.674950672780633,J124615.3+101220,2,PGC043072                     
70,251.7261525245545,31.613215852108674,25.866179341576146,3.1814611364199163,23.110228766068428,J170149.2+790216,4,UGC10704                      
71,9.667536932231883,0.8192801222968176,1.5771479818211198,1.540326853431322,2.3336253565839766,J090547.9+252615,2,NGC2750                       
72,18.559573448229646,2.1698526415549404,2.658709008953707,2.244941411191441,2.3903991391481236,J022733.1-100957,3,PGC009354                     
73,112.92956863861727,9.049814997115154,17.46835801732649,17.51259852886024,22.390727586889867,J012223.8-005231,2,NGC0497                       
