Inx,Gname,Fname,Glon,Glat,Type,cz,zz,zz_d,Method,mag,mag_d,mag_min,mag_max,dis,dis_d,dis_min,dis_max,Ndis,Nz,rowN,
231,NGC7634                       ,NGC 7634                      ,88.687,-47.928,G     ,3225,0.010757,0.0001,Tully-Fisher                            ,33.57,0.27,33.09,33.9,52.03,6.19,41.4,60.3,7,7,231,
165,UGC11459                      ,UGC 11459                     ,74.084,9.384,G     ,3124,0.010421,0.000017,Tully-Fisher                            ,33.52,0.61,32.35,33.97,52.12,12.65,28.9,62.1,6,4,165,
190,NGC3309                       ,NGC 3309                      ,269.572,26.481,G     ,4075,0.013593,0.000014,SBF                                     ,33.57,0.28,33.09,33.95,52.22,6.52,41.4,61.7,9,16,190,
41,IC1788                        ,IC 1788                       ,230.447,-71.163,G     ,3521,0.011746,0.000026,Tully-Fisher                            ,33.57,0.32,33.22,34.14,52.33,8.25,44,67.4,11,9,41,
99,NGC5653                       ,NGC 5653                      ,49.596,68.111,G     ,3562,0.011881,0.000017,Tully-Fisher                            ,33.6,0.18,33.3,33.76,52.62,4.19,45.7,56.5,5,8,99,
98,UGC03524                      ,UGC 03524                     ,201.04,4.001,G     ,3925,0.013092,0.000007,Tully-Fisher                            ,33.63,0.12,33.44,33.76,53.28,2.9,48.8,56.4,5,5,98,
230,NGC7619                       ,NGC 7619                      ,87.702,-48.328,G     ,3762,0.012549,0.000017,Tully-Fisher                            ,33.62,0.28,33.18,34.1,53.33,6.81,43.4,66.1,20,12,230,
76,NGC1653                       ,NGC 1653                      ,199.713,-28.848,G     ,4331,0.014447,0.000047,Tully-Fisher                            ,33.59,0.52,32.64,34.23,53.38,11.8,33.7,70,8,7,76,
114,MCG-01-19-002                 ,MCG -01-19-002                ,223.715,4.362,G     ,2490,0.008306,0.00001,Tully-Fisher                            ,33.62,0.33,33.05,33.9,53.46,7.4,40.8,60.3,5,2,114,
185,IC2588                        ,IC 2588                       ,270.365,23.518,G     ,3520,0.011741,0.000037,Tully-Fisher                            ,33.64,0.06,33.54,33.69,53.56,1.24,51.5,54.7,5,6,185,
5,NGC4616                       ,NGC 4616                      ,301.055,22.196,G     ,4586,0.015297,0.000087,Tully-Fisher                            ,33.58,0.62,32.78,34.39,53.89,15.09,35.9,75.6,11,6,5,
142,NGC2756                       ,NGC 2756                      ,163.594,41.664,G     ,3979,0.013272,0.000033,Tully-Fisher                            ,33.67,0.05,33.59,33.72,54.22,1.2,52.2,55.4,5,4,142,
149,NGC6483                       ,NGC 6483                      ,330.075,-18.663,G     ,4911,0.016381,0.000067,Tully-Fisher                            ,33.66,0.34,33.07,34.03,54.44,8.24,41.1,63.9,8,8,149,
100,NGC5656                       ,NGC 5656                      ,60.282,67.385,G     ,3163,0.010551,0.00002,Tully-Fisher                            ,33.68,0.17,33.46,33.92,54.62,4.22,49.2,60.8,5,7,100,
122,NGC2441                       ,NGC 2441                      ,141.987,30.259,G     ,3470,0.011575,0.000057,SNIa                                    ,33.6,0.64,32.93,35.52,54.63,21.17,38.1,125,15,5,122,
85,NGC5440                       ,NGC 5440                      ,63.8,72.896,G     ,3689,0.012305,0.00002,Tully-Fisher                            ,33.55,1.01,31.3,34.09,54.8,16.72,18.2,64.4,7,5,85,
4,UGC00139                      ,UGC 00139                     ,102.852,-62.162,G     ,3963,0.013219,0.000013,Tully-Fisher                            ,33.69,0.41,32.64,34.16,55.34,9.56,33.3,68,12,10,4,
71,NGC1521                       ,NGC 1521                      ,216.313,-44.935,G     ,4243,0.014153,0.00004,Tully-Fisher                            ,33.7,0.38,33.06,34.14,55.64,9.75,40.9,67.3,9,8,71,
208,ESO501-G075                   ,ESO 501- G 075                ,270.222,27.377,G     ,4750,0.015844,0.000023,Tully-Fisher                            ,33.71,0.33,33.24,34.25,55.7,8.75,44.4,70.7,9,8,208,
124,ESO387-G026                   ,ESO 387- G 026                ,333.384,16.956,G     ,4374,0.01459,0.000013,Tully-Fisher                            ,33.73,0.23,33.1,33.98,56.02,5.44,41.8,62.5,12,5,124,
116,NGC5874                       ,NGC 5874                      ,90.482,52.907,G     ,3135,0.010457,0.000007,Tully-Fisher                            ,33.73,0.27,33.41,34.02,56.03,6.87,48.1,63.6,7,7,116,
33,ESO323-G025                   ,ESO 323- G 025                ,303.189,23.843,G     ,4221,0.014081,0.000023,Tully-Fisher                            ,33.78,0.15,33.51,34.03,57.09,4.01,50.3,63.9,15,6,33,
94,NGC5592                       ,NGC 5592                      ,326.355,29.943,G     ,4312,0.014383,0.000033,Tully-Fisher                            ,33.79,0.21,33.54,34.08,57.42,5.52,51.2,65.6,10,10,94,
205,ESO437-G025                   ,ESO 437- G 025                ,270.639,25.852,G     ,3458,0.011535,0.000033,Tully-Fisher                            ,33.78,0.34,33.35,34.38,57.87,9.53,46.9,75.2,6,6,205,
67,NGC5184                       ,NGC 5184                      ,322.429,59.734,G     ,3991,0.013313,0.000027,Tully-Fisher                            ,33.81,0.14,33.65,34.04,57.89,3.89,53.7,64.4,7,12,67,
72,NGC1558                       ,NGC 1558                      ,250.667,-45.075,G     ,4528,0.015103,0.00003,Tully-Fisher                            ,33.59,1.42,29.08,34.25,58.39,16.71,6.55,70.9,12,6,72,
171,IC4919                        ,IC 4919                       ,342.549,-31.64,G     ,4264,0.014224,0.000027,SNIa                                    ,33.84,0.29,32.88,34.16,58.51,7.04,37.1,67.6,18,2,171,
132,NGC2619                       ,NGC 2619                      ,195.339,34.586,G     ,3474,0.011588,0.000023,Tully-Fisher                            ,33.83,0.16,33.63,34.01,58.67,4.33,53.3,63.5,6,7,132,
180,NGC6906                       ,NGC 6906                      ,49.793,-17.147,G     ,4849,0.016175,0.000027,Tully-Fisher                            ,33.84,0.18,33.68,34.09,58.7,4.84,54.6,65.8,5,6,180,
186,ESO234-G069                   ,ESO 234- G 069                ,347.341,-38.485,G     ,4381,0.014615,0.000027,Tully-Fisher                            ,33.85,0.28,33.1,34.24,58.78,7.07,41.1,70.4,24,5,186,
13,NGC4679                       ,NGC 4679                      ,302.107,23.295,G     ,4643,0.015489,0.000026,Tully-Fisher                            ,33.84,0.43,32.46,34.51,59.1,10.62,31,78.5,35,11,13,
25,NGC0536                       ,NGC 0536                      ,131.029,-27.619,G     ,5189,0.017309,0.000017,Tully-Fisher                            ,33.82,0.56,31.4,34.39,59.57,10.85,19,75.7,25,12,25,
141,NGC2772                       ,NGC 2772                      ,250.821,15.905,G     ,3426,0.011428,0.00003,Tully-Fisher                            ,33.87,0.27,33.43,34.51,59.88,8,48.6,79.8,11,3,141,
75,UGC03151                      ,UGC 03151                     ,187.107,-21.666,G     ,4377,0.0146,0.000834,Tully-Fisher                            ,33.95,0.26,33.05,34.17,61.22,6.32,40.2,68.2,17,0,75,
163,IC4830                        ,IC 4830                       ,337.32,-25.871,G     ,4388,0.014637,0.000033,Tully-Fisher                            ,33.93,0.37,33.06,35.24,61.4,12.22,40.3,110,24,3,163,
237,NGC3987                       ,NGC 3987                      ,218.946,77.716,G     ,4502,0.015018,0.000017,Tully-Fisher                            ,33.96,0.29,33.09,34.36,61.77,7.62,40.9,74.5,18,7,237,
101,NGC2258                       ,NGC 2258                      ,140.22,25.82,G     ,4059,0.013539,0.00012,SNIa                                    ,33.97,0.35,33.21,34.69,62.13,10.05,43.3,85.7,14,2,101,
35,NGC0708                       ,NGC 0708                      ,136.569,-25.09,G     ,4855,0.016195,0.000053,Tully-Fisher                            ,33.99,0.21,33.62,34.22,63,5.94,53,69.8,11,18,35,
24,NGC0523                       ,NGC 0523                      ,130.909,-28.321,G     ,4758,0.015871,0.000013,Tully-Fisher                            ,34.01,0.31,33.3,34.6,63.29,8.6,45,81.7,13,14,24,
15,NGC0452                       ,NGC 0452                      ,129.168,-31.537,G     ,4962,0.016551,0.000017,Tully-Fisher                            ,34.01,0.16,33.74,34.34,63.55,4.61,56,73.9,24,12,15,
118,NGC2410                       ,NGC 2410                      ,186.515,22.866,G     ,4681,0.015614,0.00002,Tully-Fisher                            ,34.02,0.08,33.94,34.17,63.79,2.25,61.5,68.1,7,7,118,
154,IC4758                        ,IC 4758                       ,329.646,-24.053,G     ,4543,0.015154,0.000127,SNIa                                    ,34.04,0.35,33.2,35.07,64.08,11.1,43,102,19,2,154,
27,UGC01087                      ,UGC 01087                     ,137.35,-47.471,G     ,4485,0.01496,0.000003,Tully-Fisher                            ,34.04,0.33,33.14,34.45,64.25,8.95,41.8,77.6,17,6,27,
183,ESO340-G038                   ,ESO 340- G 038                ,358.65,-35.664,G     ,5536,0.018466,0.00015,SNII optical                            ,34.06,0.18,33.7,34.18,64.55,5.17,55,68.5,6,1,183,
150,NGC6548                       ,NGC 6548                      ,44.928,18.168,G     ,6704,0.022362,0.000033,Tully-Fisher                            ,33.86,1.16,31.81,34.64,64.56,23.99,23,84.8,5,7,150,
53,NGC5051                       ,NGC 5051                      ,309.566,34.265,G     ,4437,0.0148,0.000033,Tully-Fisher                            ,34.06,0.22,33.8,34.59,65.12,7.23,57.6,82.8,10,7,53,
18,NGC0494                       ,NGC 0494                      ,130.48,-29.236,G     ,5462,0.018219,0.000033,Tully-Fisher                            ,34.06,0.22,33.72,34.39,65.19,6.59,55.5,75.7,16,7,18,
77,UGC03207                      ,UGC 03207                     ,196.806,-24.302,G     ,4572,0.015251,0.000017,Tully-Fisher                            ,34.08,0.1,33.97,34.26,65.43,3.06,62.3,71.1,7,6,77,
32,NGC0673                       ,NGC 0673                      ,144.457,-48.956,G     ,5182,0.017285,0.000017,Tully-Fisher                            ,34.09,0.27,33.27,34.61,65.62,7.93,44.3,82.2,25,6,32,
7,NGC0105                       ,NGC 0105                      ,113.092,-49.482,GPair ,5290,0.017646,0.000087,SNIa                                    ,34.11,0.34,33.42,34.46,65.99,9.82,47.5,76.6,8,2,7,
83,UGC03296                      ,UGC 03296                     ,197.746,-17.503,G     ,4267,0.014233,0.00001,Tully-Fisher                            ,34.11,0.1,33.94,34.21,66.5,3.08,61.3,69.5,5,5,83,
188,NGC7014                       ,NGC 7014                      ,352.531,-42.351,G     ,4857,0.016201,0.000017,Tully-Fisher                            ,34.11,0.23,33.84,34.63,66.58,7.38,58.6,84.5,10,7,188,
13,NGC0382                       ,NGC 0382                      ,126.835,-30.347,G     ,5229,0.017442,0.000067,SNIa                                    ,34.08,0.89,30.53,34.89,68.03,16.02,12.5,93.5,20,12,13,
12,UGC00646                      ,UGC 00646                     ,125.879,-30.566,G     ,5319,0.017742,0.00003,Tully-Fisher                            ,34.17,0.27,33.28,34.55,68.2,8.26,44.5,81.2,25,8,12,
119,IRAS07357-1651                ,IRAS  07357-1651              ,233.307,2.213,G     ,3166,0.01056,0.000023,Tully-Fisher                            ,34.14,0.49,33.57,34.46,68.37,14.49,51.7,78,3,1,119,
36,NGC0748                       ,NGC 0748                      ,160.13,-62.553,G     ,5316,0.017732,0.000017,Tully-Fisher                            ,34.2,0.15,34.06,34.42,69.16,4.98,64.8,76.6,5,4,36,
261,NGC4495                       ,NGC 4495                      ,187.338,85.144,G     ,4550,0.015177,0.00002,Tully-Fisher                            ,34.21,0.22,33.37,34.5,69.17,6.23,46.5,78.7,28,11,261,
157,ESO396-G007                   ,ESO 396- G 007                ,1.614,-15.567,G     ,5841,0.019483,0.000033,Tully-Fisher                            ,34.19,0.26,33.81,34.47,69.3,7.94,57.8,78.3,5,4,157,
86,UGC03329                      ,UGC 03329                     ,189.396,-8.226,G     ,5253,0.017522,0.000033,Tully-Fisher                            ,34.22,0.35,33.01,34.74,69.77,9.82,39.3,87.3,26,2,86,
19,NGC0495                       ,NGC 0495                      ,130.435,-28.941,G     ,4114,0.013723,0.000033,SNIa                                    ,34.23,0.35,33.53,34.7,70.16,10.37,50.1,87.1,11,5,19,
153,NGC6627                       ,NGC 6627                      ,43.94,13.339,G     ,5272,0.017586,0.000025,SNIa                                    ,34.26,0.27,33.53,34.63,70.32,8.04,49.9,84.3,18,6,153,
167,NGC3131                       ,NGC 3131                      ,217.535,51.577,G     ,5098,0.017005,0.00003,Tully-Fisher                            ,34.23,0.2,33.99,34.48,70.37,6.62,62.9,78.7,7,8,167,
239,NGC4017                       ,NGC 4017                      ,208.323,78.298,G     ,3454,0.011521,0.000017,Tully-Fisher                            ,34.2,0.48,33.58,34.57,70.54,14.64,52,82,5,14,239,
93,UGC03432                      ,UGC 03432                     ,157.338,17.973,G     ,4998,0.016672,0.000037,Tully-Fisher                            ,34.25,0.28,33.49,34.98,70.6,9.17,49.1,97.6,23,3,93,
115,NGC2389                       ,NGC 2389                      ,185.02,22.018,G     ,3957,0.013199,0.000013,Tully-Fisher                            ,34.27,0.26,33.92,34.54,71.74,8.69,60.7,81,7,5,115,
92,UGC03420                      ,UGC 03420                     ,138.187,24.144,G     ,5106,0.017032,0.000017,Tully-Fisher                            ,34.29,0.22,33.98,34.59,72.29,7.24,62.5,82.7,9,4,92,
73,UGC03122                      ,UGC 03122                     ,189.852,-25.068,G     ,4693,0.015654,0.000023,Tully-Fisher                            ,34.29,0.24,33.93,34.64,72.45,7.96,61.1,84.5,11,3,73,
42,ESO443-G041                   ,ESO 443- G 041                ,305.868,30.566,G     ,4852,0.016185,0.000033,Tully-Fisher                            ,34.3,0.17,34.06,34.51,72.8,5.78,64.9,79.8,7,10,42,
131,NGC2595                       ,NGC 2595                      ,202.734,30.31,G     ,4330,0.014443,0.000013,Tully-Fisher                            ,34.3,0.38,33.43,35.4,72.81,13.59,47.8,119,21,15,131,
23,NGC4712                       ,NGC 4712                      ,288.662,88.29,G     ,4384,0.014623,0.000017,Tully-Fisher                            ,34.34,0.25,34.03,34.81,74.36,8.94,64,91.6,7,8,23,
199,NGC7131                       ,NGC 7131                      ,41.517,-44.941,G     ,5418,0.018072,0.000043,Tully-Fisher                            ,34.38,0.29,33.65,34.68,74.4,9.37,52.7,86.4,10,3,199,
81,NGC1797                       ,NGC 1797                      ,208.231,-26.671,G     ,4457,0.014867,0.00015,Tully-Fisher                            ,34.36,0.18,34.05,34.52,74.7,6.11,64.5,80.1,5,7,81,
231,ESO439-G020                   ,ESO 439- G 020                ,284.487,30.509,G     ,4127,0.013766,0.000033,Tully-Fisher                            ,34.36,0.28,33.84,34.82,75.23,9.72,58.5,92.2,11,7,231,
210,ESO501-G088                   ,ESO 501- G 088                ,268.288,31.36,G     ,3782,0.012615,0.000021,Tully-Fisher                            ,34.38,0.25,33.96,34.57,75.44,8.37,61.9,82.1,5,5,210,
184,ESO317-G041                   ,ESO 317- G 041                ,276.934,13.633,G     ,5793,0.019323,0.000033,Tully-Fisher                            ,34.38,0.22,34.11,34.86,75.71,8.17,66.4,93.8,9,2,184,
107,NGC5772                       ,NGC 5772                      ,69.249,61.841,G     ,4900,0.016345,0.000023,Tully-Fisher                            ,34.35,0.48,34.07,35.2,75.78,19.2,65.1,110,5,8,107,
9,NGC4675                       ,NGC 4675                      ,124.77,62.37,G     ,4757,0.015866,0.000124,Tully-Fisher                            ,34.42,0.23,33.61,34.64,76.18,7.38,51.9,84.5,20,5,9,
90,NGC5490                       ,NGC 5490                      ,9.142,69.51,G     ,4855,0.016195,0.00008,Tully-Fisher                            ,34.45,0.12,34.21,34.64,76.93,3.96,69.5,83.4,11,3,90,
9,NGC0252                       ,NGC 0252                      ,122.006,-35.242,G     ,4938,0.016471,0.000043,SNIa                                    ,34.47,0.26,34.15,34.87,77.12,9.58,66.5,92.6,5,8,9,
91,UGC03422                      ,UGC 03422                     ,143.181,22.713,G     ,4061,0.013546,0.000017,Tully-Fisher                            ,34.41,0.4,33.85,34.73,77.16,13.41,58.8,88.2,5,3,91,
146,IC0530                        ,IC 0530                       ,218.608,37.254,G     ,4969,0.016575,0.00002,Tully-Fisher                            ,34.44,0.15,34.27,34.64,77.34,5.49,71.5,84.7,7,5,146,
26,IC0126                        ,IC 0126                       ,144.625,-63.228,G     ,5896,0.019667,0.00015,SNIa                                    ,34.46,0.29,33.65,34.86,77.92,9.77,52.7,93.8,13,3,26,
125,UGC04195                      ,UGC 04195                     ,149.102,32,G     ,4888,0.016305,0.000037,Tully-Fisher                            ,34.48,0.3,34.03,35.1,78.55,11.55,62.9,103,20,3,125,
105,NGC2320                       ,NGC 2320                      ,166.36,22.793,G     ,5944,0.019827,0.00005,Tully-Fisher                            ,34.49,0.33,33.57,34.82,78.95,10.69,50.8,92,11,4,105,
57,ESO576-G034                   ,ESO 576- G 034                ,312.093,42.209,G     ,6054,0.020194,0.00015,SNII optical                            ,34.59,0.06,34.5,34.67,82.12,2.86,78.5,86,6,1,57,
104,UGC09401                      ,UGC 09401                     ,26.036,65.63,G     ,5628,0.018773,0.000033,Tully-Fisher                            ,34.56,0.34,34.24,35.29,82.71,14.28,70.6,114,7,3,104,
38,ESO052-G020                   ,ESO 052- G 020                ,294.581,-44.789,G     ,8144,0.027165,0.000033,Tully-Fisher                            ,34.52,0.78,33.63,35.09,83.3,26.67,53.2,104,3,3,38,
216,MRK0421                       ,MRK 0421                      ,179.832,65.032,G     ,9000,0.030021,0.00008,GeV TeV ratio                           ,34.27,2,32.86,35.69,85.15,67.67,37.3,133,2,11,216,
40,ESO053-G002                   ,ESO 053- G 002                ,293.684,-44.718,G     ,8000,0.026685,0.000033,Tully-Fisher                            ,34.62,0.46,34.01,35.23,85.48,17.81,63.4,111,12,1,40,
59,ESO300-G009                   ,ESO 300- G 009                ,245.698,-59.639,G     ,5996,0.02,0.002,Tully-Fisher                            ,34.67,0.28,33.86,35.21,85.53,10.35,58,110,27,1,59,
47,ESO576-G001                   ,ESO 576- G 001                ,308.768,40.973,G     ,7095,0.023666,0.000033,Tully-Fisher                            ,34.57,0.7,33.27,35.42,85.6,25.09,45.1,121,7,3,47,
133,NGC2623                       ,NGC 2623                      ,198.839,33.974,G     ,5549,0.018509,0.000003,SNIa                                    ,34.67,0.45,33.7,35.19,86.17,16.76,53.9,107,12,10,133,
14,MCG-01-04-008                 ,MCG -01-04-008                ,136.06,-68.196,G     ,5745,0.019163,0.00002,Tully-Fisher                            ,34.65,0.39,34.19,35.38,86.45,16.61,68.9,119,11,6,14,
17,ESO352-G057                   ,ESO 352- G 057                ,261.874,-80.349,G     ,5691,0.018983,0.00015,SNIa                                    ,34.7,0.28,33.93,35.23,86.58,11.14,60,109,26,3,17,
103,UGC03576                      ,UGC 03576                     ,166.301,20.712,G     ,5966,0.0199,0.000013,Tully-Fisher                            ,34.75,0.32,34.02,35.17,88.92,12.07,62.4,108,12,4,103,
37,NGC4874                       ,NGC 4874                      ,58.084,88.01,G     ,7176,0.023937,0.00001,Tully-Fisher                            ,34.9,0.15,34.66,35.17,95.27,6.93,85.6,108,27,24,37,
62,ESO031-G015                   ,ESO 031- G 015                ,289.632,-38.953,G     ,8248,0.027512,0.000033,Tully-Fisher                            ,34.91,0.22,34.69,35.2,96.58,9.94,86.7,110,4,2,62,
253,ESO573-G014                   ,ESO 573- G 014                ,293.743,40.337,G     ,6838,0.022809,0.000033,Tully-Fisher                            ,34.94,0.32,34.24,35.46,96.92,13.51,68.9,124,21,6,253,
52,IC1844                        ,IC 1844                       ,169.661,-48.98,G     ,6811,0.022719,0.000067,SNIa                                    ,34.95,0.34,34.12,35.5,96.98,15.36,65.2,126,23,3,52,
111,UGC03770                      ,UGC 03770                     ,194.169,15.476,G     ,6378,0.021275,0.000017,Tully-Fisher                            ,34.97,0.26,34.24,35.51,97.35,11.35,69,124,19,3,111,
71,ESO383-G032                   ,ESO 383- G 032                ,313.203,27.834,G     ,7080,0.023616,0.0002,SNIa                                    ,35,0.25,34.33,35.27,98.31,10.28,71.8,111,21,2,71,
187,NGC6986                       ,NGC 6986                      ,28.766,-35.668,G     ,8532,0.02846,0.000087,SNIa                                    ,35.08,0.18,34.95,35.2,100.5,7.78,95,106,2,2,187,
45,ESO545-G013                   ,ESO 545- G 013                ,197.417,-67.172,G     ,10112,0.03373,0.000033,Tully-Fisher                            ,34.99,0.53,34.44,35.63,101.75,25.28,77.3,134,4,6,45,
67,ESO031-G018                   ,ESO 031- G 018                ,287.854,-39.497,G     ,8329,0.027783,0.000033,Tully-Fisher                            ,35.02,0.37,34.33,35.45,102.24,16.18,73.5,123,8,1,67,
39,NGC4908                       ,NGC 4908                      ,56.212,87.725,G     ,4994,0.016658,0.00004,Tully-Fisher                            ,35.03,0.32,34.46,35.69,102.66,15.9,78.1,138,9,12,39,
80,ESO384-G009                   ,ESO 384- G 009                ,317.416,27.166,G     ,11102,0.037032,0.000033,Tully-Fisher                            ,35.06,0.12,34.97,35.14,102.85,5.87,98.7,107,2,6,80,
38,NGC4881                       ,NGC 4881                      ,64.1,87.807,G     ,6740,0.022482,0.000019,Tully-Fisher                            ,35.07,0.2,34.86,35.52,103.81,10.06,93.8,127,9,12,38,
17,NGC4704                       ,NGC 4704                      ,124.872,75.197,G     ,8134,0.027132,0.00006,SNIa                                    ,35.16,0.26,34.35,35.53,105.46,11.75,72.2,124,17,4,17,
214,UGC12133                      ,UGC 12133                     ,76.477,-42.059,G     ,7423,0.02476,0.000007,Tully-Fisher                            ,35.16,0.34,33.88,35.52,107,13.97,58.2,127,25,5,214,
148,UGC11064                      ,UGC 11064                     ,53.448,23.317,G     ,7043,0.023493,0.000033,SNIa                                    ,35.18,0.4,34.35,36.47,108.21,23.49,72.4,192,19,3,148,
137,CGCG180-022                   ,CGCG 180-022                  ,186.587,39.59,G     ,7546,0.025171,0.000083,SNIa                                    ,35.21,0.34,34.43,35.55,108.88,14.74,75,122,8,4,137,
260,NGC4493                       ,NGC 4493                      ,291.681,63.041,G     ,6943,0.023159,0.000093,SNIa                                    ,35.23,0.29,34.37,35.86,109.93,14.82,73.1,145,27,7,260,
41,NGC4926                       ,NGC 4926                      ,45.595,87.626,G     ,7887,0.026308,0.000025,Tully-Fisher                            ,35.19,0.33,34.86,35.75,110.13,17.59,93.8,141,6,9,41,
62,ESO508-G067                   ,ESO 508- G 067                ,312.491,38.386,G     ,7464,0.024897,0.00015,SNIa                                    ,35.24,0.32,34.35,36.2,110.43,17.49,72.3,170,22,1,62,
78,ESO445-G066                   ,ESO 445- G 066                ,318.221,30.332,G     ,7257,0.024207,0.00004,SNIa                                    ,35.24,0.43,34.96,36.92,111.92,31.12,95.7,237,19,5,78,
225,NGC3644                       ,NGC 3644                      ,257.587,57.541,G     ,7126,0.02377,0.000063,Tully-Fisher                            ,35.3,0.08,35.17,35.37,114.4,4.16,108,119,5,3,225,
48,UGC01993                      ,UGC 01993                     ,143.255,-19.505,G     ,8018,0.026745,0.000037,Tully-Fisher                            ,35.34,0.23,34.63,35.67,115.57,11.91,82.1,136,28,7,48,
6,CGCG409-007                   ,CGCG 409-007                  ,110.372,-55.355,G     ,7554,0.025197,0.00003,SNII optical                            ,35.32,0.03,35.3,35.34,116,1.41,115,117,2,4,6,
262,NGC4520                       ,NGC 4520                      ,295.261,55.234,G     ,7628,0.025444,0.00013,SNIa                                    ,35.36,0.25,34.63,35.78,116.8,13.35,82.2,143,14,2,262,
46,ESO545-G018                   ,ESO 545- G 018                ,197.914,-66.635,G     ,9963,0.033233,0.000033,Tully-Fisher                            ,35.32,0.48,34.81,35.78,118.15,26.19,91.6,144,4,3,46,
218,ESO147-G010                   ,ESO 147- G 010                ,329.33,-52.495,G     ,10640,0.035491,0.000033,Tully-Fisher                            ,35.36,0.44,34.75,36.06,120.01,25.38,89.1,163,8,1,218,
6,IC3690                        ,IC 3690                       ,295.62,73.107,G     ,7603,0.025361,0.000023,SNIa                                    ,35.45,0.29,34.5,35.82,121.73,14.06,79.4,142,27,4,6,
238,ESO471-G027                   ,ESO 471- G 027                ,25.866,-76.771,G     ,8803,0.029364,0.000033,SNIa                                    ,35.48,0.33,34.61,35.77,123.56,17.45,81.2,143,11,7,238,
230,ESO439-G018                   ,ESO 439- G 018                ,285.384,28.033,G     ,8861,0.029557,0.000033,Tully-Fisher                            ,35.55,0.31,34.78,35.9,127.26,15.82,90.5,147,27,8,230,
37,ESO297-G036                   ,ESO 297- G 036                ,255.06,-72.296,G     ,11111,0.037062,0.000033,Tully-Fisher                            ,35.54,0.1,35.47,35.61,128,5.66,124,132,2,4,37,
96,IC4423                        ,IC 4423                       ,35.969,68.825,G     ,9067,0.030244,0.000033,SNIa                                    ,35.62,0.39,35.19,35.93,129.33,20.6,106,145,3,7,96,
142,CGCG111-016                   ,CGCG 111-016                  ,37.652,28.366,G     ,9193,0.030664,0.000097,SNIa                                    ,35.6,0.25,34.82,35.93,129.42,13.73,89.3,153,22,2,142,
61,IC4232                        ,IC 4232                       ,311.824,36.21,G     ,9426,0.031442,0.000143,SNIa                                    ,35.61,0.36,34.62,36.42,131.78,21.94,81.4,187,16,2,61,
140,CGCG224-104                   ,CGCG 224-104                  ,64.386,39.68,G     ,8863,0.029564,0.000053,SNIa                                    ,35.62,0.36,34.62,36.12,131.96,20.05,81.5,162,13,2,140,
90,ESO254-G022                   ,ESO 254- G 022                ,254.865,-26.734,G     ,9066,0.030241,0.000033,Tully-Fisher                            ,35.61,0.02,35.6,35.63,132.5,0.71,132,133,2,4,90,
134,NGC6038                       ,NGC 6038                      ,59.667,48.745,G     ,9392,0.031328,0.000077,SNIa                                    ,35.65,0.63,33.11,36.3,135.38,26.43,40.5,177,21,6,134,
137,UGC10432                      ,UGC 10432                     ,65.232,43.339,G     ,9762,0.032563,0.000143,Tully-Fisher                            ,35.86,0.31,35.64,36.08,147,16.97,135,159,2,1,137,
121,2MASXJ07415700-6231144        ,2MASX J07415700-6231144       ,274.613,-18.346,G     ,10566,0.035244,0.00015,SNIa                                    ,35.93,0.34,35.18,36.49,151.06,21.81,105,192,17,1,121,
65,FCCB1147                      ,FCCB 1147                     ,232.643,-53.854,G     ,11702,0.039034,0.000093,SNIa                                    ,36.01,0.43,35.17,36.47,158.38,31.5,104,197,8,1,65,
59,CGCG016-058                   ,CGCG 016-058                  ,318.016,59.843,G     ,10390,0.034656,0.000073,SNIa                                    ,36.1,0.3,35.25,36.62,163.41,23.79,108,211,22,4,59,
132,MCG+11-19-025                 ,MCG +11-19-025                ,99.882,42.167,G     ,10920,0.036425,0.000066,SNIa                                    ,36.21,0.24,35.4,36.44,169.75,16.74,116,192,20,0,132,
23,MCG-01-04-039                 ,MCG -01-04-039                ,144.045,-66.133,G     ,14310,0.047733,0.000107,SNII optical                            ,36.28,0.01,36.27,36.28,174.33,9.81,163,180,3,1,23,
169,2MASXJ19585927-5615279        ,2MASX J19585927-5615279       ,341.503,-31.519,G     ,12137,0.040485,0.00015,SNIa                                    ,36.27,0.31,35.38,36.63,177.17,22.75,114,212,12,1,169,
11,UGC00607                      ,UGC 00607                     ,125.711,-50.084,G     ,11733,0.039137,0.000143,SNIa                                    ,36.41,0.36,35.53,36.75,186.64,27.44,123,224,11,4,11,
217,2MFGC17122                    ,2MFGC 17122                   ,58.694,-55.049,G     ,15006,0.050055,0.00015,SNIa                                    ,36.45,0.23,35.65,36.85,187.65,19.03,128,223,23,3,217,
226,ESO291-G011                   ,ESO 291- G 011                ,344.145,-63.925,G     ,12981,0.0433,0.000183,SNIa                                    ,36.44,0.24,35.61,36.78,188.96,21.82,127,227,24,1,226,
152,UGC11149                      ,UGC 11149                     ,77.676,26.674,G     ,16256,0.054224,0.000043,SNIa                                    ,36.6,0.66,34.05,37,205.91,41.55,61.3,245,20,2,152,
123,CGCG236-015NED01              ,CGCG 236-015 NED01            ,174.634,29.922,G     ,15060,0.050236,0.000073,SNIa                                    ,36.69,0.04,36.67,36.72,213.5,10.61,206,221,2,3,123,
195,2MASXJ21345926-6244143        ,2MASX J21345926-6244143       ,330.819,-42.236,G     ,15162,0.050575,0.00015,SNIa                                    ,36.76,0.27,35.84,37.35,218.07,29.12,140,281,28,1,195,
