Col,Dx,Dy,Dz,chi2
1, 1.58824289776, -5.57903737514, 0.102328964812, 930.193168013
2, 0.780332980301, -5.17094469013, -0.0789544025283, 909.635488096
3, 0.575158290527, -5.69794416651, 0.146290779966, 863.833408022
4, -0.136577300887, -5.20144876575, -0.928737275746, 902.577037116
5, -0.293065421511, -6.02314573014, -0.520808486756, 897.699515752
6, -1.0481176551, -5.53061215067, -0.0613665168792, 871.651400955
7, 0.0434357920252, -5.39628153157, -0.247348134078, 950.623398515
8, 0.194833354317, -5.83961998662, -0.294522775781, 862.787389105
9, -0.166052705518, -4.96763825514, -0.309226604003, 892.316513101
