Col,Dx,Dy,Dz,chi2
105, 3.81077859719e-06, -1.87855270511e-05, -2.71319524959e-06, 943.40166996
106, 9.37286487993e-07, -1.84698196332e-05, 3.6543076694e-07, 892.719354723
107, 4.40860961868e-06, -2.11668376442e-05, -2.06603181541e-06, 1084.43398167
108, 6.46805324264e-07, -1.5945632742e-05, -1.71489175043e-06, 927.214757181
109, 6.85534288935e-07, -1.57431713001e-05, -2.11971510803e-06, 980.464148296
110, 3.07575384735e-06, -2.14456844924e-05, -3.69328396131e-06, 990.231391696
111, 3.53868055292e-06, -2.05763291656e-05, -6.68872678796e-08, 1011.9211479
112, 1.65011346622e-06, -1.7959371634e-05, -2.52565711044e-06, 895.418380851
113, 5.41893265371e-06, -1.80733181661e-05, -2.79348500837e-06, 947.588385479
114, 2.55409640055e-06, -1.66350942227e-05, -1.1287248807e-06, 932.16102389
115, 3.5290886775e-07, -1.7027369019e-05, -1.06458047234e-06, 911.485012389
116, 3.50653985924e-06, -2.20225388459e-05, -6.57014501572e-07, 1148.82181731
117, 2.0827849524e-06, -2.10038729394e-05, -1.06098271702e-06, 1091.28209835
118, -1.60184819917e-06, -2.02815622233e-05, 2.44975081041e-07, 899.946584227
119, 4.05066944056e-06, -1.76161760308e-05, -3.60527900217e-06, 1064.40085473
120, 3.70446950363e-06, -2.05659432011e-05, -8.13421679977e-07, 924.846225821
121, 8.31238105187e-07, -1.94493058792e-05, -3.37490786575e-06, 967.718680664
122, 1.08970658794e-06, -1.97479334923e-05, 2.60443808844e-06, 984.768052982
123, 2.52335605347e-06, -1.85903976201e-05, -1.95692739003e-06, 985.180786608
124, -1.31000025131e-07, -1.6824061636e-05, -1.04328906584e-07, 847.106705349
125, 2.49892275999e-06, -1.99188622373e-05, -1.9536429309e-06, 832.6294039
126, 1.41809357681e-06, -2.00420000001e-05, -7.32048033851e-07, 793.324701961
127, 3.55518057971e-06, -1.89650218963e-05, -4.58217056352e-07, 969.974582868
128, 3.53907202949e-06, -1.78091569636e-05, -3.5421613516e-06, 967.188760239
129, -2.31892920127e-07, -1.82676125584e-05, -4.60222372636e-06, 843.182086442
130, 7.98081530121e-07, -2.03318988605e-05, 2.42535170801e-06, 886.474934196
131, 3.25235659235e-06, -1.87234087604e-05, -3.43185839078e-06, 831.924976785
132, 5.32811542509e-07, -1.86255395631e-05, -9.8339194954e-07, 887.517336152
133, 2.73923956365e-06, -1.97930891593e-05, -1.33650901077e-06, 931.838874198
134, -6.36150728158e-07, -1.87953741989e-05, -3.05478465241e-06, 814.642960464
135, -4.14779102631e-06, -1.68072015615e-05, 2.26031258469e-07, 856.32273582
136, 5.62999046467e-06, -1.90464945541e-05, -2.32252872731e-06, 981.390593087
137, 3.84710198648e-07, -1.75182181161e-05, -9.59413034885e-07, 907.186441615
138, 3.06695355427e-06, -1.87832702602e-05, 3.02758577685e-06, 986.90391627
139, -1.28886327492e-07, -1.65822007986e-05, -1.04353595992e-07, 903.395932958
140, 4.35433684494e-06, -2.03216951407e-05, -4.32018874217e-06, 891.599062025
141, 4.2958536495e-06, -1.94140987845e-05, -2.23502766942e-06, 933.818577142
142, 4.10429400831e-07, -1.88259538709e-05, 7.6404415328e-07, 851.65849259
143, 1.67065431976e-06, -1.99148436524e-05, 6.54185531029e-07, 957.073264598
144, 5.2283578887e-06, -2.12384685313e-05, -2.46989798698e-06, 953.902506538
145, -1.48508566474e-06, -1.66860832323e-05, -1.40658818696e-06, 874.795589843
146, 1.45089788399e-06, -1.79795649102e-05, -2.30706538731e-06, 841.788256301
147, -1.66708885147e-06, -2.04515649263e-05, -2.56168872645e-07, 798.11410385
148, 3.92135362785e-07, -1.83928289145e-05, -1.23480743853e-06, 894.098802903
149, -2.81853733328e-06, -1.68357116058e-05, -1.57102494509e-06, 860.014160087
150, 2.60449028736e-06, -2.07113958493e-05, -1.19999017864e-06, 914.463743386
151, -1.57481009039e-06, -1.91083331475e-05, 2.41534918689e-07, 968.706429076
152, 1.67886944574e-06, -2.11916282914e-05, -2.06583584259e-06, 1022.86146788
153, 1.70420925106e-06, -1.87294177917e-05, -1.63091420308e-06, 891.575876989
154, -2.07061739048e-06, -1.94697554137e-05, -1.72397343794e-07, 814.128398957
155, 5.87628482663e-07, -1.79314116651e-05, -1.01041178643e-06, 884.928423552
156, 1.29998610859e-06, -1.92951584545e-05, -5.61807294615e-07, 830.632205607
157, 1.97677783309e-06, -1.6913515052e-05, -2.66036943759e-06, 909.363034851
158, -4.99340524089e-07, -1.82028463155e-05, 2.26240501089e-06, 870.338837246
159, -1.18392057616e-06, -1.78213912828e-05, -1.40486298675e-06, 888.309841246
160, 6.35533915691e-06, -1.73014393868e-05, -4.32121439117e-06, 980.896130881
161, 1.774626118e-07, -1.61218541768e-05, -2.74582655744e-06, 929.503996718
162, 1.84805981412e-06, -2.1057682391e-05, -2.33677823697e-06, 836.514799906
163, 3.65190426056e-06, -1.71721544434e-05, -4.26064875258e-06, 892.086068066
164, 1.35347823381e-06, -1.74895884356e-05, 8.42334077743e-07, 904.803657327
165, -2.08826886262e-06, -1.99929331976e-05, 2.10696607811e-06, 852.695035282
166, 3.21914121804e-06, -1.93355258472e-05, -2.60814380454e-06, 969.637827232
167, 4.07079936781e-06, -2.13821636157e-05, -3.03692247212e-06, 1039.76456298
168, 1.26631293567e-05, -2.32506120489e-05, -1.52910993898e-06, 1174.18008665
169, 7.01976084933e-06, -1.98274255632e-05, 8.71947122513e-07, 961.369729787
170, 9.76825489551e-07, -1.97405513728e-05, -1.13333870625e-08, 970.609066229
171, -1.30294967786e-07, -1.67450469322e-05, -1.05086760868e-07, 970.907344631
172, 1.23753947945e-06, -1.57691192288e-05, -2.19858164368e-06, 904.645916989
173, 5.95315135985e-06, -1.87030166887e-05, -4.81925241737e-06, 936.353516777
174, -1.3031964031e-07, -1.8859393131e-05, -1.03919193872e-07, 927.776110717
175, -1.62091785145e-07, -1.79537656966e-05, -1.43734463131e-06, 995.163956552
176, -2.60816002604e-06, -1.85340387803e-05, -5.30760086698e-07, 928.51416295
177, 7.061235847e-07, -1.86398372162e-05, -3.1119241354e-06, 858.759215619
178, 2.86455713741e-06, -1.76462865193e-05, -5.36882338921e-07, 850.334257461
179, 2.32953926262e-06, -1.92721629925e-05, -4.36151299933e-07, 936.264764498
180, -6.29417269743e-07, -1.95817804008e-05, 3.84956695209e-06, 858.174844846
181, -1.52032514495e-06, -1.82364318905e-05, -2.91876793115e-06, 892.645153166
182, 4.19368286406e-06, -2.30716408589e-05, -3.96434073222e-06, 912.386065732
183, -2.00599589391e-06, -1.67230306745e-05, -1.58752836721e-06, 867.319357883
184, -1.28880058795e-07, -1.66197639597e-05, -1.11595184118e-07, 937.011185968
185, -1.41069938383e-07, -1.87634198144e-05, -1.78859984774e-06, 822.905250617
186, 2.23458397706e-06, -1.77712662235e-05, 1.03049860191e-06, 921.615780016
187, -3.83867040158e-08, -1.85002529036e-05, -2.76944689749e-06, 864.524130953
188, 4.17772092804e-06, -2.03907575782e-05, 9.5317952665e-07, 992.173307826
189, -6.59624669043e-07, -1.7072490298e-05, -1.83060669304e-06, 941.31258071
190, 2.22321018854e-06, -1.81665040628e-05, -9.99803554904e-07, 970.504626234
191, 4.91704671595e-06, -2.06410967304e-05, 2.31195911335e-07, 869.790847849
192, 1.90544367568e-06, -1.8035753547e-05, -1.25891397376e-06, 938.392657346
193, -9.9702060354e-07, -1.75280709893e-05, -1.7906075558e-06, 919.630348129
194, -2.56670434474e-07, -1.95795106178e-05, 7.20332376706e-07, 864.951848675
195, 1.32164528061e-06, -1.87914570789e-05, -7.05922085036e-07, 945.625561626
196, 1.1422632336e-06, -1.99283687077e-05, -6.03333362671e-07, 897.354478333
197, -1.63419484901e-07, -1.9860553687e-05, 9.13956556505e-07, 883.914530513
198, 3.13809640442e-06, -2.23824947917e-05, -2.15941936628e-06, 1269.64344862
199, 5.08312653088e-06, -1.98126708176e-05, -2.39581353478e-06, 893.982187316
200, 1.40651310076e-06, -1.69428068125e-05, -1.98642715806e-06, 921.214230703
201, 2.45700346482e-06, -1.94363769437e-05, -1.1449275503e-06, 948.873471706
202, 3.06093626628e-06, -1.97100300774e-05, -9.74169156958e-07, 940.134989095
203, -4.51484232346e-06, -1.8383632238e-05, -3.12870408021e-06, 981.557993286
204, 2.55659846208e-06, -1.94820507168e-05, 1.62537396165e-06, 870.062809723
205, 2.81643101788e-06, -1.91425763277e-05, -2.51392448124e-06, 918.808679626
206, 1.30897426503e-06, -1.86408877549e-05, 1.15997387535e-06, 907.623756871
207, -2.59653908e-06, -1.65841464555e-05, -1.9157486061e-06, 915.943539449
208, 4.78539131657e-06, -1.91528076603e-05, -8.33537645345e-07, 907.158284686
209, 1.18460488742e-06, -1.88931798064e-05, 5.74060596506e-07, 935.223112548
210, 6.04122534221e-07, -2.10275048914e-05, -2.00585624256e-06, 963.239150715
211, 3.79040344399e-06, -1.98132342072e-05, -2.70593249927e-06, 1008.1518727
212, 1.79255393029e-06, -2.11772222162e-05, 1.72794604209e-06, 908.196424403
213, 4.16263437761e-06, -2.25239831407e-05, 1.26503406315e-06, 1062.72018219
214, 1.75530223641e-06, -1.98096274952e-05, -2.99017518968e-06, 878.485951652
215, -1.26824360737e-07, -1.77864731546e-05, -1.0454172474e-07, 854.812570971
216, -3.58574094199e-07, -1.96547918539e-05, 3.10623262443e-07, 892.313173317
217, -4.4901035138e-06, -1.82814584279e-05, 4.61864107287e-07, 852.044965686
218, 2.37652284804e-07, -1.80922446789e-05, -2.94319515625e-06, 879.20924248
219, 5.59239606787e-06, -1.9839623884e-05, -2.94136701053e-06, 1038.59198379
220, 2.56298467371e-06, -1.87403130999e-05, -5.02841115219e-06, 1094.46675597
221, 3.6898244667e-06, -2.00001389633e-05, -1.81310394001e-07, 881.586835711
222, 2.80937253557e-06, -1.89673447756e-05, -1.40985521622e-06, 934.627665434
223, -1.54190154826e-06, -1.79480036613e-05, 5.18274598707e-07, 927.1072743
224, 2.32819690173e-06, -1.75919708062e-05, -3.77356033288e-07, 933.705317457
225, 4.25056855413e-07, -2.11828264718e-05, -2.69583805771e-06, 876.854016394
226, 2.66053085397e-06, -1.9662677051e-05, -2.83920236283e-06, 905.477708275
227, -9.87860926014e-07, -1.9410638864e-05, -1.88969148765e-06, 1005.40798626
228, 3.66685090383e-06, -2.1004829062e-05, -1.12058401443e-06, 976.256153879
229, 6.16840420938e-07, -1.80055411629e-05, -1.51040885154e-06, 945.822088719
230, 1.93898807858e-06, -1.72539098164e-05, -5.76338606464e-07, 892.816482638
231, -3.78142538445e-07, -1.87700331535e-05, -1.34978409032e-06, 826.056557862
232, 9.84241736275e-08, -1.79168259335e-05, -7.53883574972e-07, 862.978569896
233, -3.78506567009e-07, -1.80872623371e-05, -1.43215788296e-06, 878.120035681
234, 2.44820571529e-06, -1.92127498701e-05, -2.86014838915e-06, 852.27579805
235, 3.82540033509e-06, -1.83088637029e-05, -3.80233799451e-06, 980.565758435
236, 1.06738131653e-06, -1.86520164141e-05, -2.74956952343e-06, 880.925341025
237, 4.06297554889e-06, -2.08702423216e-05, -1.1322899383e-06, 957.737172121
238, 2.17882043058e-06, -1.74057759641e-05, 1.40110537271e-07, 869.228244492
239, -1.35706077494e-06, -2.13018808647e-05, 2.0876843687e-06, 937.461609593
240, -1.01126067358e-06, -1.8732794865e-05, -1.96449434303e-06, 913.64554561
241, 1.58122281485e-06, -1.76979627778e-05, -1.97902548241e-06, 855.789278503
242, -1.99934305014e-06, -1.89100016811e-05, 4.69743046392e-07, 843.003756497
243, -1.26746576642e-06, -1.8311060949e-05, -1.88088719532e-06, 855.096563242
244, 1.35995541105e-06, -2.00416017144e-05, -5.16343680264e-07, 904.97776621
245, 2.20502956756e-06, -1.89155009348e-05, -2.22487080195e-06, 848.365067524
246, -6.80858767189e-07, -1.82067095448e-05, -1.81084521671e-06, 869.978881679
247, -1.92002328286e-06, -1.7130250261e-05, 1.38207668551e-06, 887.414712985
248, 1.60922101659e-06, -1.9824089389e-05, 2.62846558464e-07, 855.990272232
249, 2.77255229224e-06, -1.80433151624e-05, -2.53245186114e-07, 910.767463843
250, 1.19643089088e-06, -1.78775879087e-05, -3.27561334463e-06, 983.857381342
251, 8.68860841078e-06, -2.12162196993e-05, -5.35827541361e-07, 1151.98881186
252, -2.41149526672e-06, -1.82746692421e-05, 1.80109345543e-06, 912.316833185
253, -1.60729180928e-06, -1.85307415799e-05, -4.19293534178e-06, 913.452134911
254, 2.04995979354e-06, -1.8334464995e-05, -2.98442537649e-07, 927.287630267
255, 9.59511515518e-07, -1.88875523591e-05, -1.08672443552e-07, 1067.99023907
256, 2.01079619236e-06, -1.80181720024e-05, -3.0072639118e-06, 961.719483713
257, -5.33098996613e-07, -1.85637265629e-05, 1.52493438317e-06, 960.742802077
258, 2.64272897698e-06, -1.86438917812e-05, -2.89454363451e-06, 935.999303102
259, 2.52436285755e-07, -1.79913633498e-05, -8.72499013754e-07, 933.851790268
260, -7.63319455825e-07, -1.97032325685e-05, -2.17623401672e-08, 845.344018488
261, 9.26327926557e-07, -1.87462462951e-05, -2.46404354188e-06, 846.214039291
262, -5.11908791173e-09, -1.98171429776e-05, -1.36760985106e-06, 907.796195384
263, 6.27730694407e-06, -1.83578720716e-05, -1.17364367888e-06, 1041.98585987
264, -5.78315005051e-08, -1.60119997925e-05, -1.57407649941e-06, 1103.78424456
265, 2.68622211242e-06, -1.76155359918e-05, -3.4062847409e-06, 866.838674518
266, 4.11544023254e-06, -1.98620245991e-05, -2.65121835113e-06, 957.774963513
267, 1.67994483962e-06, -1.83236078622e-05, -2.82518228595e-06, 938.07238446
268, 2.67239919257e-06, -1.98728913331e-05, -1.760976149e-06, 926.211245596
269, -1.416964966e-06, -1.8639832023e-05, -5.83422784044e-07, 942.115335784
270, -1.0062741368e-06, -2.03410814454e-05, 8.22188862779e-07, 896.926563484
271, 3.06628195641e-07, -1.67155453207e-05, -4.83464631973e-06, 916.873850574
272, 4.32813652388e-07, -1.81726552908e-05, -1.08974228041e-06, 850.915040143
273, 2.16781295159e-06, -1.58801712558e-05, -3.35516753894e-06, 961.657157881
274, 1.45331838898e-06, -1.881063389e-05, -3.32583386113e-06, 792.158109607
275, 4.76671689444e-06, -2.21188419036e-05, 9.04435524769e-07, 834.81736594
276, -1.79463894162e-07, -1.98221482196e-05, 2.06341378373e-06, 928.517965287
277, 1.04226816081e-06, -1.80014390775e-05, -1.30104773537e-06, 905.642306943
278, 3.04624881541e-06, -1.79385457543e-05, -2.35894557821e-06, 1087.62444822
279, 1.135236932e-06, -1.80399006518e-05, -5.1577394124e-06, 1052.56562297
280, 5.63838151803e-06, -2.03800793889e-05, -2.23079218904e-06, 873.668838402
281, 1.38650379809e-06, -1.63116416809e-05, 8.6065812061e-07, 900.793819626
282, 1.88941777174e-06, -1.89920806191e-05, -2.75831947747e-06, 913.185291881
283, -1.25864305092e-07, -1.79236576867e-05, -1.10142055866e-07, 907.549572317
284, 4.92131519181e-06, -1.91284715619e-05, -2.29114571967e-07, 871.364062898
285, 6.04255228198e-06, -1.83072438688e-05, -2.55062136649e-07, 925.81807015
286, 2.77753697643e-06, -1.87914510767e-05, -2.30810103474e-06, 1074.26498022
287, 3.27978299774e-06, -1.97469995957e-05, -2.46928296633e-06, 931.944504306
288, -1.274495322e-07, -1.80376521562e-05, -1.02736404925e-07, 1067.56636365
289, 5.79560742628e-07, -1.99794750858e-05, -3.7412759563e-06, 920.007258915
290, 3.71504183045e-07, -1.97301300162e-05, 2.36890696532e-06, 954.886207744
291, -3.26900974478e-07, -1.65414739536e-05, -1.56032820702e-06, 911.969636173
292, 2.88261421629e-06, -2.07573176246e-05, -1.13578837945e-06, 983.773524403
293, 2.26531796823e-06, -1.79019947253e-05, 1.32911204044e-07, 975.165777516
294, 2.72779951314e-06, -1.92830986887e-05, -1.99213533223e-06, 859.680414358
295, 1.44535875266e-06, -1.84504785159e-05, -2.1614382344e-06, 830.421818808
296, 2.15318022769e-06, -1.93528797975e-05, -2.33292393714e-07, 855.781355117
297, 1.63941936869e-06, -1.83224622915e-05, -1.58519647467e-06, 874.705727529
298, 3.32086330962e-06, -2.00561384751e-05, -1.32178643885e-06, 1036.70063323
299, 2.1548382482e-06, -1.79749229826e-05, 2.53157756798e-06, 955.972745915
300, 1.05274418231e-06, -1.87838245636e-05, -3.72613765624e-06, 865.310083799
301, 2.02320824882e-06, -1.82252448413e-05, -1.56206368844e-06, 926.859381178
302, 8.96720248541e-07, -1.78015898921e-05, -1.55948157787e-06, 887.883294867
303, -4.72136486352e-08, -2.02537919108e-05, 6.09616166603e-07, 896.36164805
304, 3.69428656268e-06, -1.82476796064e-05, -1.66349962174e-06, 947.8088795
305, -6.96032264422e-07, -1.81145941525e-05, 1.58896711122e-07, 849.969421416
306, 4.92683491664e-06, -1.87150822759e-05, 6.44431258362e-07, 918.978472502
307, 3.24835303833e-06, -1.92614079423e-05, -1.48099814547e-06, 891.178439428
308, -1.13945648974e-06, -1.80568490223e-05, -8.62201854924e-07, 905.946318668
309, 2.60047804689e-06, -1.78355712751e-05, 3.57219621745e-07, 896.88291868
310, 3.95320342552e-07, -1.84509935106e-05, -2.1980251491e-06, 905.151843481
311, -1.20151488728e-07, -2.0887036391e-05, -1.05422539497e-07, 797.938998813
312, 2.21971323994e-06, -1.71584809669e-05, -4.51636533445e-06, 922.630382508
313, -5.85623307849e-07, -1.82561460654e-05, -2.51606832881e-06, 804.442256397
314, -2.0211859326e-06, -1.94031560019e-05, -5.84754731305e-07, 891.666736974
315, 1.09442038722e-06, -1.79686005712e-05, -2.70839166612e-06, 871.582487984
316, -3.62981921325e-06, -1.80196838145e-05, 1.13626486348e-06, 927.484417187
317, -6.47997204277e-07, -1.8883289814e-05, 6.6772748003e-07, 829.629044736
318, 7.10225190769e-07, -1.88944968978e-05, -1.06781454787e-06, 969.793048656
319, -1.53256353921e-06, -1.98442657505e-05, -5.27153008535e-06, 1131.07808186
320, 4.63350879485e-06, -1.84175882179e-05, 3.53015083589e-07, 938.634274444
321, 5.30476302981e-07, -1.97387644881e-05, -1.66939411692e-06, 789.001313012
322, 2.3076881732e-06, -2.17296755584e-05, 7.15090397e-07, 939.814715045
323, 1.74576681738e-06, -1.8892927511e-05, -2.35951523784e-06, 838.121780223
324, 5.92880201846e-06, -1.73435601194e-05, -2.37969583238e-06, 968.238692912
325, 5.71905954155e-06, -1.5897656846e-05, -4.0723534704e-06, 995.675537321
326, -1.29451985379e-07, -1.74041285561e-05, -1.04923832544e-07, 875.819334048
327, 1.64302590418e-06, -2.03484232626e-05, 5.60235440753e-07, 959.849664418
328, -6.80600764609e-07, -1.82817824973e-05, -1.12181051893e-06, 866.98888648
329, 2.57421878257e-06, -1.77718169232e-05, -5.69407592887e-06, 1102.71576504
330, 3.71868018831e-06, -1.88137683222e-05, -4.01098100316e-07, 922.713265267
331, 2.21817729851e-06, -1.97282719655e-05, 1.45504349911e-06, 878.230133104
